voter_id,party,age_group,education,income_bracket,race,political_engagement,trust_institutions,voted_2020,ideology_score
124,Republican,18-29,Some College,>100k,White,40.8,46.5,TRUE,1.9
125,Democrat,45-64,Some College,30-60k,White,59.6,71.2,TRUE,4.5
126,Republican,45-64,Some College,30-60k,White,24.7,57.2,TRUE,2.2
127,Independent,18-29,Some College,>100k,White,54.8,35.5,TRUE,3.2
128,Democrat,18-29,Graduate,60-100k,Black,55.6,17.8,TRUE,4
129,Republican,18-29,HS,<30k,White,80.2,38.6,TRUE,7
130,Democrat,45-64,Some College,>100k,White,43.9,27.9,FALSE,1
131,Republican,30-44,Graduate,>100k,Hispanic,62.1,60.4,TRUE,6.7
132,Democrat,45-64,College,30-60k,White,76.9,28.8,TRUE,3.9
133,Other,30-44,HS,>100k,White,41,21.8,TRUE,2.3
134,Independent,45-64,HS,30-60k,White,46.8,37.7,TRUE,1.1
135,Independent,30-44,Some College,>100k,White,54,73.7,TRUE,3.6
136,Democrat,65+,Some College,60-100k,Hispanic,49.3,46.7,TRUE,4.3
137,Republican,65+,Some College,30-60k,Asian,28.9,58.7,FALSE,2.8
138,Independent,45-64,Graduate,60-100k,Hispanic,45.6,41.8,TRUE,4.5
139,Independent,65+,College,<30k,White,88.4,25.9,TRUE,6.8
140,Republican,45-64,Graduate,30-60k,White,48.8,33.1,TRUE,1.9
141,Republican,30-44,Graduate,60-100k,Other,49.4,62,FALSE,2.2
142,Democrat,18-29,HS,<30k,White,31.8,44.7,FALSE,2.6
143,Democrat,30-44,College,<30k,Hispanic,52.1,18,FALSE,5
144,Democrat,30-44,HS,<30k,Other,41.9,19.3,TRUE,6.7
145,Independent,30-44,Graduate,30-60k,White,64.3,61.8,TRUE,3.7
146,Independent,65+,College,30-60k,Other,42.8,65.6,TRUE,4.3
147,Republican,30-44,College,60-100k,White,22.6,68.6,FALSE,2.8
148,Republican,65+,Graduate,30-60k,Hispanic,40.8,34.4,TRUE,2.9
149,Republican,65+,College,30-60k,White,73.5,43.2,TRUE,6.1
150,Other,18-29,HS,>100k,White,25.1,59.8,TRUE,4.3
151,Other,18-29,College,>100k,Black,60.4,52.6,TRUE,5.1
152,Independent,30-44,Graduate,60-100k,Other,54.9,65.3,FALSE,4.9
153,Republican,65+,Some College,>100k,Black,36.4,57.2,TRUE,2.6
154,Republican,65+,HS,<30k,White,14.1,45.9,FALSE,4.4
155,Republican,45-64,College,60-100k,White,63.9,29,TRUE,2.3
156,Republican,45-64,Graduate,>100k,White,86.8,47,FALSE,4.4
157,Republican,45-64,Some College,30-60k,White,55.4,40.1,TRUE,6.5
158,Republican,18-29,Graduate,<30k,Black,38.7,16.5,FALSE,3.7
159,Republican,18-29,College,<30k,Black,30.2,64,TRUE,2.5
160,Democrat,30-44,Some College,>100k,Hispanic,29.3,72.9,FALSE,3.5
161,Democrat,30-44,HS,<30k,White,59.6,5.3,TRUE,4.6
162,Democrat,30-44,College,<30k,White,64.4,26.3,TRUE,6.1
163,Democrat,30-44,College,60-100k,Other,47.8,58.7,FALSE,2.7
164,Independent,30-44,HS,<30k,White,66.8,79.7,TRUE,2.2
165,Independent,30-44,Graduate,>100k,White,56.3,49.4,TRUE,2.7
166,Independent,30-44,Graduate,>100k,Hispanic,34.7,50.1,TRUE,3.5
167,Democrat,45-64,Graduate,60-100k,White,65.7,67.9,TRUE,4.9
168,Republican,65+,HS,30-60k,Black,26.8,49,TRUE,4.7
169,Other,18-29,College,>100k,White,65.4,37.8,TRUE,7
170,Independent,18-29,Some College,60-100k,Black,68.8,43.6,TRUE,3.2
171,Republican,45-64,HS,30-60k,White,31.8,36.4,FALSE,4.9
172,Republican,18-29,Some College,30-60k,White,49.5,54.1,TRUE,2.6
173,Republican,65+,Graduate,<30k,Hispanic,26.1,0,FALSE,5.9
174,Democrat,18-29,Graduate,>100k,White,56.7,71.3,TRUE,4.4
175,Other,45-64,Graduate,30-60k,Hispanic,66.3,50.2,FALSE,5.5
176,Republican,45-64,Graduate,30-60k,Asian,40,52.6,TRUE,4
177,Republican,65+,Graduate,<30k,Hispanic,95.8,23.9,TRUE,5.8
178,Democrat,45-64,Some College,60-100k,Asian,41.5,50.4,TRUE,3.7
179,Independent,18-29,Graduate,>100k,White,33.8,60,FALSE,5.8
180,Independent,30-44,HS,60-100k,Asian,64.2,51.8,FALSE,2.1
181,Democrat,18-29,College,>100k,Hispanic,89.7,37.1,TRUE,5.6
182,Republican,18-29,Some College,30-60k,White,43.5,58.2,TRUE,3.5
183,Independent,30-44,HS,60-100k,Hispanic,24.2,29.4,TRUE,5.8
184,Republican,45-64,College,30-60k,White,49.5,40.3,TRUE,2.3
185,Democrat,45-64,Graduate,<30k,Asian,90.8,81.6,TRUE,4.6
186,Republican,45-64,HS,30-60k,White,61.1,59.6,TRUE,4.7
187,Democrat,30-44,HS,<30k,Asian,87.5,33.6,TRUE,3.8
188,Republican,45-64,HS,30-60k,White,82.4,61,FALSE,4
189,Republican,30-44,HS,>100k,White,46.9,46.2,TRUE,3.8
190,Republican,30-44,Some College,>100k,White,66.7,49.4,TRUE,4.4
191,Other,45-64,Graduate,30-60k,White,61.5,50.9,TRUE,4.4
192,Independent,45-64,College,30-60k,White,55.7,60.3,FALSE,2.8
193,Democrat,65+,Graduate,<30k,White,26.3,60.4,FALSE,3.7
194,Republican,45-64,College,<30k,White,50,32.6,FALSE,4.1
195,Independent,30-44,Some College,60-100k,White,55.5,22.4,TRUE,5.2
196,Independent,18-29,Graduate,>100k,Hispanic,53.4,49.3,FALSE,3
197,Independent,30-44,College,30-60k,White,57.9,23.1,TRUE,4.3
198,Independent,18-29,HS,<30k,White,58.5,51.5,TRUE,7
199,Democrat,30-44,HS,>100k,Hispanic,83.2,70.8,FALSE,5.3
200,Democrat,30-44,Graduate,30-60k,White,63.6,51.8,FALSE,1
201,Republican,30-44,Graduate,<30k,White,32.8,23.1,TRUE,3.2
202,Republican,65+,Graduate,60-100k,Asian,69.2,18.5,FALSE,6.5
203,Republican,45-64,College,60-100k,White,59.2,18,TRUE,4.9
204,Democrat,18-29,Some College,60-100k,Hispanic,58.3,67.5,FALSE,2.4
205,Independent,45-64,Graduate,>100k,Black,37.9,68.3,TRUE,7
206,Republican,45-64,HS,<30k,Asian,46.8,13.6,TRUE,3.3
207,Democrat,65+,Some College,60-100k,White,31.7,67.1,TRUE,7
208,Independent,65+,Some College,<30k,White,60.4,62.6,TRUE,1.9
209,Democrat,30-44,HS,>100k,White,39.9,45,FALSE,3.7
210,Democrat,65+,Some College,<30k,Hispanic,40,22.2,TRUE,4
211,Republican,45-64,Some College,30-60k,Asian,32.3,30,TRUE,2.5
212,Republican,45-64,HS,<30k,White,68.6,3.8,TRUE,5
213,Independent,18-29,HS,60-100k,Black,52.5,33.6,TRUE,5.4
214,Republican,18-29,HS,>100k,White,62.6,60.4,FALSE,3.2
215,Independent,65+,Graduate,60-100k,White,73.5,77.7,FALSE,2.9
216,Democrat,45-64,Some College,30-60k,Black,57.3,8.3,TRUE,4.2
217,Republican,18-29,Graduate,30-60k,White,49.3,40.3,TRUE,2.6
218,Independent,45-64,Graduate,<30k,Black,71.4,28.6,FALSE,3.6
219,Independent,30-44,Some College,30-60k,White,31.6,12,TRUE,2
220,Republican,18-29,Graduate,60-100k,White,77.3,27.6,TRUE,4.6
221,Democrat,30-44,HS,>100k,White,63.8,61.3,TRUE,1
222,Independent,45-64,Some College,60-100k,Hispanic,71.3,32.8,FALSE,4.8
223,Democrat,30-44,Some College,60-100k,White,74.4,72.3,FALSE,6.4
224,Democrat,30-44,HS,>100k,White,49.3,49.3,FALSE,4.8
225,Republican,30-44,Some College,>100k,White,49.7,27.4,TRUE,2.4
226,Republican,45-64,Graduate,30-60k,Black,32.7,49.1,TRUE,3.5
227,Independent,65+,HS,60-100k,Hispanic,32,56.2,TRUE,4.7
228,Independent,18-29,Some College,30-60k,Asian,40.1,53.2,TRUE,4.9
229,Republican,65+,Some College,60-100k,Black,73.1,14.1,TRUE,5.6
230,Independent,45-64,College,<30k,White,31.5,37.1,TRUE,4.5
231,Independent,18-29,College,<30k,Asian,33.2,52.3,TRUE,2.8
232,Republican,65+,Graduate,<30k,Hispanic,50.4,72.7,TRUE,2.9
233,Republican,30-44,College,60-100k,Hispanic,69.5,56.3,TRUE,4.3
234,Other,18-29,HS,60-100k,White,15,42.1,TRUE,2.9
235,Democrat,30-44,Some College,60-100k,Black,53.9,68.9,TRUE,3.1
236,Independent,18-29,HS,30-60k,White,59.6,48.5,TRUE,2.8
237,Independent,45-64,College,60-100k,White,65.8,50.9,TRUE,4.8
238,Republican,45-64,HS,<30k,White,56.9,45.8,TRUE,5
239,Democrat,65+,HS,>100k,White,45.1,29.5,TRUE,1.8
240,Democrat,45-64,College,>100k,White,66.3,43.7,TRUE,3.9
241,Democrat,18-29,Graduate,>100k,Other,39.3,77.3,FALSE,4.5
242,Independent,45-64,HS,30-60k,White,34.9,51.4,TRUE,5.8
243,Republican,65+,College,<30k,White,49.5,47.3,TRUE,4.9
244,Republican,45-64,Graduate,>100k,White,56,33.3,FALSE,3.6
245,Republican,45-64,Some College,>100k,Black,38,44.6,TRUE,1
246,Republican,45-64,Some College,60-100k,Black,31.4,30,FALSE,2.1
247,Independent,18-29,Graduate,30-60k,Hispanic,77.6,67.7,FALSE,3.5
248,Republican,18-29,Some College,30-60k,White,50.9,55.7,TRUE,3.7
249,Other,65+,Some College,60-100k,White,37,56.7,TRUE,5.2
250,Democrat,65+,Graduate,<30k,White,72.8,50,FALSE,1.8
251,Independent,30-44,Graduate,<30k,Hispanic,29.8,42.8,FALSE,4.8
252,Republican,18-29,HS,>100k,White,53.6,27.4,TRUE,5.6
253,Independent,30-44,Graduate,30-60k,Hispanic,64,31.7,FALSE,5.8
254,Democrat,18-29,Graduate,60-100k,Hispanic,85.3,51,FALSE,6.1
255,Republican,30-44,HS,60-100k,White,69.1,80.1,TRUE,3.8
256,Democrat,30-44,Some College,60-100k,White,83.9,70.9,FALSE,4.7
257,Democrat,45-64,College,>100k,White,22.4,21.6,TRUE,2.2
258,Republican,18-29,Graduate,<30k,White,42.6,29.7,TRUE,6.9
259,Other,18-29,Graduate,<30k,White,73.6,34.3,TRUE,3.8
260,Republican,30-44,Graduate,<30k,Hispanic,86.6,0,TRUE,4.7
261,Independent,45-64,College,30-60k,Black,30,47,TRUE,4.2
262,Democrat,65+,HS,60-100k,White,24.5,91.3,FALSE,3.6
263,Independent,65+,College,60-100k,White,48.5,29.2,TRUE,2.7
264,Independent,65+,Some College,>100k,White,61.1,34.3,TRUE,6.2
265,Independent,65+,Graduate,30-60k,White,47.9,66.1,TRUE,2.2
266,Republican,30-44,HS,>100k,White,71.8,45.6,TRUE,3.2
267,Republican,18-29,HS,<30k,Hispanic,24.3,35.6,FALSE,4.9
268,Republican,18-29,Some College,30-60k,Black,34.4,86.3,TRUE,5.4
269,Independent,45-64,Some College,<30k,Black,40.7,36.4,FALSE,4.3
270,Democrat,18-29,College,<30k,Black,74,52.2,TRUE,7
271,Republican,45-64,HS,>100k,White,35.1,45.4,FALSE,3.4
272,Independent,30-44,Graduate,60-100k,White,48.9,45.7,TRUE,5.4
273,Independent,18-29,HS,30-60k,Black,92.4,48.8,TRUE,2.8
274,Democrat,18-29,Some College,30-60k,Black,48,56.2,FALSE,7
275,Independent,30-44,College,>100k,Hispanic,53.3,46,FALSE,3.7
276,Democrat,45-64,College,30-60k,White,11.2,49.1,TRUE,7
277,Democrat,18-29,Graduate,>100k,White,93.2,48.6,TRUE,4.5
278,Democrat,30-44,College,30-60k,Black,67.7,34.1,TRUE,4.7
279,Democrat,18-29,HS,60-100k,White,44.7,26,TRUE,4.1
280,Republican,45-64,Graduate,30-60k,White,7.1,6,FALSE,5.5
281,Independent,30-44,Graduate,30-60k,White,75.5,54.1,FALSE,2.4
282,Republican,30-44,HS,>100k,White,32.5,58.7,TRUE,7
283,Republican,45-64,Graduate,30-60k,Asian,62.5,70.2,FALSE,4
284,Republican,45-64,HS,<30k,White,80.6,48.1,TRUE,4.7
285,Republican,65+,Some College,60-100k,White,27.2,17.3,TRUE,2.9
286,Democrat,45-64,HS,30-60k,Other,55.9,100,FALSE,5.1
287,Independent,30-44,College,<30k,White,47.8,13,TRUE,1.6
288,Democrat,45-64,Graduate,>100k,White,49.5,91.5,FALSE,5.8
289,Republican,18-29,Some College,60-100k,White,57.3,34.9,TRUE,6.1
290,Democrat,18-29,Some College,>100k,Hispanic,38.6,12.7,TRUE,5.3
291,Democrat,18-29,College,>100k,White,63.3,17.7,FALSE,4.7
292,Republican,30-44,Graduate,<30k,White,34.8,40,FALSE,5
293,Republican,18-29,Graduate,30-60k,White,76.3,25.7,FALSE,3.1
294,Republican,30-44,College,<30k,Hispanic,52.2,15.8,FALSE,6.8
295,Republican,18-29,College,<30k,Hispanic,43,42,TRUE,3.5
296,Independent,45-64,College,<30k,White,36.6,0,TRUE,5.3
297,Independent,65+,College,30-60k,White,63.4,70.8,TRUE,2.2
298,Independent,45-64,College,60-100k,White,63.6,79.3,TRUE,4.1
299,Independent,30-44,Graduate,>100k,White,61.2,56.7,TRUE,5.1
300,Democrat,30-44,Some College,60-100k,White,39.2,61.5,TRUE,4.5
301,Democrat,30-44,Some College,30-60k,White,50.6,58.9,FALSE,3.3
302,Independent,18-29,Graduate,60-100k,Black,73.4,69.7,TRUE,1.9
303,Republican,45-64,Graduate,30-60k,Hispanic,35.6,53.9,TRUE,1.6
304,Republican,18-29,HS,60-100k,White,54.4,79.8,FALSE,1.9
305,Democrat,45-64,HS,>100k,Black,30.4,56.5,TRUE,3.3
306,Independent,18-29,HS,30-60k,White,31.7,14.2,FALSE,5.1
307,Independent,45-64,College,<30k,Hispanic,30.7,45.8,FALSE,3.4
308,Democrat,30-44,Graduate,30-60k,White,77.9,61.2,FALSE,4.7
309,Democrat,30-44,College,>100k,White,56.3,65.2,TRUE,3.1
310,Democrat,65+,Some College,60-100k,Hispanic,73.1,25.8,TRUE,2.4
311,Democrat,65+,Graduate,<30k,White,28.4,32,TRUE,3.8
312,Independent,30-44,HS,<30k,White,69,65.4,FALSE,2.1
313,Independent,45-64,HS,60-100k,Black,87.7,39.7,TRUE,1.1
314,Republican,45-64,HS,>100k,Asian,48.6,40.5,FALSE,7
315,Independent,45-64,HS,60-100k,Asian,81.5,68.9,TRUE,4.3
316,Independent,18-29,HS,>100k,Black,41.3,62.8,FALSE,3.8
317,Independent,45-64,HS,60-100k,White,50.4,47.8,TRUE,5.1
318,Republican,45-64,Some College,60-100k,Hispanic,26.4,22,FALSE,3.4
319,Democrat,65+,College,30-60k,White,42.8,71.2,TRUE,2
320,Republican,30-44,HS,>100k,Hispanic,67.9,38.8,TRUE,5.3
321,Independent,18-29,Graduate,30-60k,White,11.8,48.2,TRUE,4.8
322,Other,45-64,HS,<30k,Black,59.6,100,TRUE,5.6
323,Republican,65+,College,<30k,White,55.6,31.7,TRUE,2
324,Independent,18-29,College,60-100k,Hispanic,73.4,43.7,TRUE,3.5
325,Republican,18-29,Graduate,<30k,Hispanic,69.8,63,TRUE,3.3
326,Republican,65+,Graduate,30-60k,White,65.1,19.1,TRUE,1.3
327,Independent,65+,Graduate,60-100k,Other,27.1,17.2,TRUE,1.5
328,Republican,65+,Some College,60-100k,Black,70.3,0,TRUE,2.9
329,Democrat,18-29,College,<30k,White,46.6,53.8,TRUE,2.5
330,Republican,65+,HS,<30k,White,45.7,68,FALSE,4.3
331,Republican,18-29,College,>100k,White,44.7,54.1,TRUE,4.6
332,Republican,30-44,HS,60-100k,Hispanic,37.3,0,TRUE,5.4
333,Independent,18-29,College,<30k,White,86.4,26.9,TRUE,4.3
334,Democrat,65+,Graduate,30-60k,Black,47.4,48.7,TRUE,3.4
335,Democrat,45-64,College,30-60k,Hispanic,43.3,48.7,TRUE,6.4
336,Democrat,18-29,HS,<30k,Hispanic,37.1,68,FALSE,2
337,Democrat,65+,Graduate,>100k,White,56.4,78.1,TRUE,2
338,Democrat,30-44,Some College,60-100k,White,62.1,45.1,FALSE,2.5
339,Independent,45-64,Some College,>100k,White,75.8,45.7,FALSE,3.2
340,Independent,18-29,HS,30-60k,White,81.9,33.7,TRUE,4.4
341,Republican,65+,HS,<30k,White,33.9,81.7,TRUE,4.9
342,Republican,65+,HS,60-100k,Black,41.7,54.9,FALSE,2.1
343,Other,18-29,Some College,30-60k,Hispanic,66.5,23.6,FALSE,4.3
344,Republican,18-29,Some College,30-60k,Black,27.5,82.7,FALSE,4.7
345,Independent,30-44,Some College,>100k,White,56.5,63,TRUE,4.1
346,Independent,45-64,Some College,60-100k,White,32.4,55.8,TRUE,2.7
347,Independent,30-44,Some College,30-60k,White,78.6,81.9,TRUE,5.4
348,Republican,18-29,College,60-100k,Hispanic,33.5,70.1,TRUE,2.7
349,Other,65+,College,>100k,White,28.3,68.8,TRUE,4.9
350,Republican,30-44,Some College,<30k,White,53.4,91.2,TRUE,3.6
351,Democrat,18-29,Some College,>100k,White,58.5,53.7,FALSE,4.3
352,Democrat,18-29,Some College,<30k,White,53.3,7.8,TRUE,4.5
353,Other,45-64,College,<30k,Hispanic,81.9,21.8,TRUE,4.8
354,Democrat,65+,Some College,60-100k,Other,57.2,52.5,FALSE,3.5
355,Independent,45-64,College,60-100k,Black,45.1,37.9,TRUE,4.3
356,Republican,65+,Graduate,60-100k,White,19.2,61.4,TRUE,4.9
357,Republican,45-64,Some College,>100k,Hispanic,94.8,63.5,TRUE,2.9
358,Democrat,30-44,Graduate,>100k,Hispanic,38.5,0,TRUE,5.4
359,Republican,45-64,Graduate,30-60k,Hispanic,40,30.2,TRUE,7
360,Independent,18-29,College,30-60k,White,66,58.2,TRUE,5.2
361,Independent,30-44,Graduate,>100k,White,69.6,52.7,TRUE,4.8
362,Other,30-44,Some College,30-60k,White,28.2,64,FALSE,3.9
363,Independent,45-64,HS,30-60k,Asian,71.2,50.5,TRUE,3.1
364,Republican,65+,Some College,<30k,White,74.2,41,FALSE,3.9
365,Democrat,65+,HS,>100k,White,53,52,TRUE,2.3
366,Democrat,30-44,College,>100k,Black,23,36.9,FALSE,2.6
367,Republican,30-44,College,<30k,White,63.9,62.4,TRUE,5.3
368,Republican,45-64,College,>100k,White,83.9,40.9,TRUE,3.6
369,Independent,18-29,College,30-60k,White,30,40.5,FALSE,4.5
370,Democrat,30-44,College,>100k,White,40.7,49.8,TRUE,4.3
371,Independent,45-64,College,30-60k,Black,18.2,72.5,TRUE,5.4
372,Republican,30-44,HS,<30k,Black,50.3,52.1,TRUE,6
373,Other,45-64,College,60-100k,White,26.2,70.5,TRUE,2.1
