unit_id,policy_implemented,outcome,implementation_quality,prior_policies,state_capacity,political_support,urban_rural,region,years_since_implementation
170,FALSE,55.4,High,0,0.13,47.6,Urban,Northeast,9
171,FALSE,17,Low,5,0.65,49.5,Urban,Midwest,8
172,FALSE,21.4,Medium,1,0.61,26.6,Rural,Northeast,6
173,TRUE,52.4,Medium,0,0.61,43.7,Urban,Northeast,3
174,TRUE,50.9,High,0,0.47,58.9,Suburban,Midwest,0
175,TRUE,63.5,Medium,1,0.67,21.8,Rural,Northeast,4
176,TRUE,68.2,Medium,4,0.52,64.6,Urban,West,5
177,TRUE,43.6,High,1,0.24,60.1,Suburban,Midwest,1
178,TRUE,55.6,Medium,3,0.41,43,Rural,Midwest,3
179,TRUE,94.8,Medium,2,0.67,72.2,Urban,West,3
180,TRUE,65.5,Low,5,0.62,34.4,Rural,South,1
181,FALSE,24.9,Medium,4,0.91,21.7,Urban,South,7
182,TRUE,55,Medium,5,0.54,81.5,Suburban,Midwest,6
183,TRUE,100,High,3,0.88,59.4,Suburban,Northeast,4
184,TRUE,39.4,Low,5,0.26,28.1,Urban,West,4
185,TRUE,46.5,Low,2,0.74,31.1,Urban,Northeast,7
186,FALSE,63.7,Low,3,0.56,84.8,Suburban,West,3
187,FALSE,21.8,Low,0,0.5,70.4,Rural,South,0
188,TRUE,59,Low,4,0.79,56,Suburban,Northeast,0
189,TRUE,38.4,Low,0,0.61,56.3,Rural,West,9
190,FALSE,43.4,High,1,0.66,24.9,Urban,Northeast,8
191,TRUE,61.7,Low,4,0.2,61.1,Rural,South,7
192,TRUE,54.4,High,1,0.67,50.3,Rural,Northeast,8
193,FALSE,61,High,4,0.26,25.4,Urban,South,4
194,TRUE,40.8,Low,5,0.53,53.9,Rural,Northeast,7
195,TRUE,68.1,Low,5,0.73,48.7,Rural,Northeast,4
196,FALSE,43,High,4,0.48,52.4,Suburban,Midwest,6
197,TRUE,42.1,High,0,0.71,25.1,Suburban,West,4
198,TRUE,47.8,Low,1,0.51,84.2,Rural,Midwest,9
199,TRUE,43.8,High,4,0.69,72.7,Urban,West,7
200,FALSE,50.8,High,5,0.38,60.5,Urban,Midwest,3
201,TRUE,61.8,Medium,1,0.66,30,Urban,Northeast,5
202,TRUE,39.3,Low,0,0.48,52.5,Urban,South,1
203,FALSE,64.7,Medium,5,0.36,66.3,Urban,South,6
204,FALSE,44.9,Medium,4,0.35,60.2,Suburban,Midwest,6
205,TRUE,53.8,Medium,4,0.56,83.1,Rural,West,8
206,FALSE,34.3,High,1,0.5,49.2,Urban,West,7
207,TRUE,37.2,Medium,5,0.25,77.5,Urban,Midwest,9
208,FALSE,38.8,High,4,0.97,50.8,Suburban,Northeast,5
209,FALSE,32.1,Low,4,0.67,41.3,Suburban,Northeast,5
210,TRUE,79.8,Low,0,0.59,69.2,Suburban,Northeast,2
211,TRUE,56.1,High,5,0.78,83.1,Rural,West,4
212,TRUE,36.1,High,4,0.3,64.4,Rural,South,0
213,FALSE,37.1,High,0,0.25,61.9,Rural,Midwest,0
214,TRUE,49.5,Low,2,0.76,37,Rural,Northeast,2
215,TRUE,39.3,Low,0,0.39,69,Urban,Northeast,6
216,TRUE,57.9,High,2,0.45,34,Urban,Northeast,7
217,FALSE,45.8,Medium,0,0.13,76.9,Urban,Northeast,5
218,FALSE,48.6,Medium,5,0,64.5,Rural,Northeast,1
219,FALSE,51.5,Medium,1,0.27,46.3,Suburban,Midwest,10
220,FALSE,63.5,Medium,5,0.63,49.1,Urban,West,7
221,FALSE,41.1,Low,1,0.61,48.8,Suburban,Midwest,3
222,TRUE,70.5,High,1,0.21,41.8,Rural,South,9
223,FALSE,73.3,Medium,0,0.53,91.5,Suburban,Midwest,7
224,TRUE,48.5,Low,5,0.76,66.7,Suburban,South,6
225,FALSE,51.2,Medium,4,0.6,56.7,Urban,Northeast,8
226,FALSE,34,High,0,0.18,93.7,Rural,Midwest,7
227,TRUE,65,High,0,0.63,27.3,Urban,South,10
228,TRUE,61.1,Low,5,0.36,38.7,Suburban,Midwest,3
229,TRUE,69,Medium,0,0.63,45.6,Rural,Northeast,4
230,TRUE,46.2,Medium,2,0.21,45.7,Rural,South,5
231,TRUE,60.5,High,3,0.11,32.2,Rural,Midwest,10
232,FALSE,69.5,Low,3,0.62,63.7,Rural,West,3
233,FALSE,58.8,Medium,1,0.24,78.7,Rural,South,10
234,TRUE,51,Medium,5,0.63,52.8,Urban,South,9
235,FALSE,64.3,Low,4,0.45,54,Urban,South,10
236,TRUE,71.2,High,0,0.44,67,Suburban,South,6
237,TRUE,23,Low,4,0,47.5,Rural,Northeast,0
238,FALSE,27.9,Low,3,0.43,31.9,Suburban,Midwest,3
239,TRUE,53.7,Medium,2,0.49,35.2,Urban,West,3
240,TRUE,76.3,High,4,0.54,84.6,Urban,West,3
241,FALSE,53.7,High,5,0.66,48.9,Urban,South,8
242,FALSE,60.7,Low,5,0.57,86.1,Rural,Midwest,0
243,FALSE,20.4,Medium,5,0.8,78.1,Suburban,West,1
244,TRUE,49.1,High,2,0.37,45.5,Rural,Northeast,3
245,FALSE,24.4,High,3,0.79,65.3,Suburban,Midwest,10
246,TRUE,47.7,Low,5,0.6,62.1,Suburban,Northeast,9
247,FALSE,43.6,Medium,0,0.6,54.1,Urban,Midwest,10
248,TRUE,56.9,Low,1,0.46,35,Rural,Midwest,5
249,TRUE,53.4,High,3,0.61,57.9,Rural,Midwest,4
250,FALSE,49.7,High,5,0.72,43,Rural,West,6
251,FALSE,65.9,Low,2,0.84,63.3,Urban,West,3
252,FALSE,55.1,High,2,0.46,48.6,Rural,Northeast,4
253,TRUE,45.2,High,5,0.51,91.2,Suburban,Northeast,3
254,FALSE,57.9,High,0,0.48,60.9,Rural,West,2
255,FALSE,40.6,Low,4,0.24,54.5,Urban,West,8
256,FALSE,53.9,Medium,0,0.52,66.4,Rural,South,4
257,TRUE,60.8,High,5,0.55,41.4,Urban,Northeast,5
258,TRUE,44.8,Low,2,0.62,25.7,Rural,Northeast,10
259,FALSE,46.4,Medium,5,0.29,54.9,Urban,Midwest,5
260,TRUE,52.6,Low,0,0.42,42.1,Rural,Northeast,8
261,FALSE,58.2,High,4,0.23,68.3,Urban,Northeast,8
262,FALSE,43.9,Medium,4,0.55,18.1,Suburban,South,1
263,FALSE,11.2,Low,1,0.73,58.9,Rural,South,9
264,FALSE,61.3,High,5,0.7,60,Urban,Midwest,5
265,FALSE,67.6,Low,3,0.42,41.4,Suburban,South,0
266,FALSE,57.4,Low,2,0.21,94.2,Suburban,West,2
267,TRUE,51.3,Low,2,0.53,77.2,Rural,Midwest,10
268,TRUE,27.6,Medium,0,0.71,40.9,Urban,South,4
269,FALSE,54.1,Medium,2,0.73,17.3,Urban,Midwest,10
270,FALSE,58.2,High,1,0.75,52.8,Suburban,Northeast,5
271,FALSE,58.4,Low,2,0.46,43,Rural,Northeast,5
272,FALSE,59.1,Low,4,1,22.6,Rural,Northeast,5
273,FALSE,54.9,Low,1,0.54,34.6,Urban,Northeast,9
274,FALSE,76.6,Low,4,0.33,53.9,Urban,Midwest,6
275,TRUE,42.5,Low,0,0.63,86.9,Suburban,South,4
276,TRUE,56.1,Medium,4,0.5,68.7,Rural,Midwest,7
277,TRUE,66.3,High,3,0.27,52.7,Suburban,South,3
278,FALSE,29.8,Low,2,0.62,65.9,Suburban,South,4
279,TRUE,71.6,Low,4,0.33,64.7,Urban,South,4
280,FALSE,65,High,2,0.56,16.2,Suburban,West,10
281,TRUE,53.4,High,4,0.6,89,Rural,Midwest,4
282,FALSE,40.8,Medium,2,0.66,83.3,Rural,West,1
283,FALSE,19.5,Medium,0,0.73,61.8,Rural,Northeast,5
284,TRUE,26.7,High,2,0.71,33.6,Urban,Northeast,3
285,TRUE,27.6,High,1,0.52,39.3,Urban,South,6
286,FALSE,47.7,Medium,0,0.46,95,Rural,South,5
287,FALSE,52.8,High,1,0.36,35.2,Rural,South,8
288,TRUE,53.9,High,0,0.5,19.4,Suburban,West,8
289,FALSE,64.4,Low,4,0.78,67.2,Suburban,Northeast,10
290,FALSE,55.5,High,5,0.56,63.8,Urban,Midwest,6
291,FALSE,44.4,High,2,0.46,3.9,Urban,Midwest,6
292,FALSE,36.1,High,1,1,53.7,Suburban,South,5
293,TRUE,54.9,Medium,1,0.35,76.9,Urban,South,4
294,TRUE,58.1,High,1,0.97,38.7,Rural,Midwest,2
295,TRUE,51.5,Medium,3,0.44,39.8,Rural,Northeast,0
296,TRUE,45.7,High,0,0.97,48.7,Urban,Midwest,7
297,FALSE,58.2,Medium,0,0.6,42.1,Suburban,Northeast,6
298,TRUE,37.1,Medium,4,0.27,73.7,Suburban,Midwest,5
299,FALSE,61.2,Low,0,0.41,40.3,Urban,West,1
300,FALSE,48.6,High,5,0.23,64.8,Urban,South,6
