employee_id,salary,gender,years_experience,department,performance_rating,hours_worked,has_mentor,leadership_role,education_level
33,56.5,Female,27,HR,4.2,31.7,FALSE,FALSE,HS
34,88.2,Male,11,Marketing,4.8,41.5,FALSE,FALSE,Bachelors
35,49.1,Male,18,Finance,4.1,47.5,FALSE,TRUE,Bachelors
36,86.7,Female,6,Engineering,3.5,38.1,TRUE,FALSE,Masters
37,60,Female,29,Finance,3.1,37.7,TRUE,FALSE,Bachelors
38,48.3,Male,29,Marketing,4.8,39.3,TRUE,TRUE,Bachelors
39,86.9,Female,20,HR,3.8,32.8,TRUE,TRUE,HS
40,45.5,Male,12,Marketing,4.3,41.3,FALSE,FALSE,PhD
41,85.5,Male,23,Sales,4.8,42.1,TRUE,FALSE,HS
42,39.2,Male,7,Finance,3.3,53.2,FALSE,FALSE,Bachelors
43,85.2,Male,17,Engineering,2.1,32.3,TRUE,TRUE,Bachelors
44,57.3,Female,28,Finance,3.8,52.5,TRUE,FALSE,Bachelors
45,57,Female,22,Finance,3.8,44.3,FALSE,TRUE,Bachelors
46,59.3,Female,1,Sales,4.4,45.3,FALSE,FALSE,Bachelors
47,30,Female,23,Sales,2.9,44.6,TRUE,FALSE,Bachelors
48,66.4,Male,21,Finance,3.1,40.3,TRUE,FALSE,Bachelors
49,76,Male,24,Engineering,3,47.4,FALSE,FALSE,Bachelors
50,30,Female,22,Engineering,4.3,43.2,FALSE,FALSE,Bachelors
51,52.4,Male,5,Engineering,3.7,36.4,FALSE,FALSE,PhD
52,45.9,Male,14,Finance,4.8,39.2,TRUE,FALSE,Bachelors
53,94.3,Female,5,Sales,3.4,40.5,FALSE,FALSE,PhD
54,72.7,Female,27,Sales,4.1,42.2,FALSE,FALSE,Bachelors
55,64.8,Female,25,Engineering,4.4,48.9,FALSE,FALSE,Masters
56,56,Female,12,HR,2.5,47,TRUE,TRUE,Bachelors
57,78.2,Female,4,Finance,2.5,46.5,FALSE,TRUE,Bachelors
58,74.8,Male,24,Sales,3.5,46.6,TRUE,FALSE,HS
59,61,Male,25,Finance,3.4,43.4,TRUE,FALSE,Bachelors
60,100.9,Male,24,Marketing,3.4,47.1,TRUE,FALSE,Bachelors
61,64.8,Female,11,Marketing,3.6,38,TRUE,FALSE,Masters
62,67.8,Male,24,Engineering,3,46.9,TRUE,FALSE,Masters
63,47.7,Female,0,Marketing,3.9,38.4,TRUE,FALSE,Masters
64,88.3,Female,17,Sales,3.2,43.5,FALSE,TRUE,Bachelors
65,86.2,Female,22,Finance,3.3,41.5,TRUE,FALSE,Bachelors
66,62.1,Male,13,Marketing,3.8,40.5,TRUE,FALSE,Bachelors
67,79.1,Female,13,Finance,2.8,44,FALSE,FALSE,Bachelors
68,115.8,Male,14,Engineering,3.7,43.7,FALSE,FALSE,Bachelors
69,67.9,Female,15,Sales,3.8,41.1,TRUE,FALSE,Bachelors
70,75.5,Female,6,Marketing,3.3,43.6,TRUE,FALSE,Bachelors
71,48.8,Male,27,Marketing,3,31.5,FALSE,FALSE,Bachelors
72,30,Male,24,Sales,3.4,39.8,TRUE,FALSE,Bachelors
73,118.9,Female,12,Marketing,3.3,40.3,FALSE,FALSE,Masters
74,81,Female,24,HR,1.7,44.7,TRUE,FALSE,Masters
75,49,Female,11,Marketing,1.9,49.4,TRUE,TRUE,HS
76,77.6,Male,10,Engineering,3.3,48.3,TRUE,FALSE,Bachelors
77,56.2,Female,21,Marketing,3.1,36.9,FALSE,FALSE,Bachelors
78,58.5,Female,10,Marketing,4.4,40.9,FALSE,FALSE,Masters
79,33.3,Male,27,Finance,4.2,35.1,TRUE,FALSE,Bachelors
80,30,Male,26,Marketing,5,34.4,FALSE,TRUE,Masters
81,82.8,Female,3,Marketing,3,42.4,FALSE,FALSE,Bachelors
82,35.1,Female,8,Marketing,3.6,35.8,FALSE,FALSE,Bachelors
83,80.8,Male,23,Finance,1.8,38.2,TRUE,TRUE,PhD
84,90.6,Female,5,Sales,3.3,33,FALSE,TRUE,Masters
85,76.7,Female,8,Marketing,3.6,40.8,FALSE,FALSE,Masters
86,77.6,Male,3,Marketing,3.4,44.3,FALSE,FALSE,Bachelors
87,60,Female,21,Finance,4.9,43.1,FALSE,TRUE,Bachelors
88,61.8,Male,16,Finance,3.1,37.4,FALSE,FALSE,Bachelors
89,58,Female,22,Sales,4,46.9,TRUE,FALSE,PhD
90,77.4,Female,25,Sales,3.6,43.8,FALSE,TRUE,Bachelors
91,81.6,Female,2,Engineering,2.9,37.9,FALSE,TRUE,Bachelors
92,64.2,Female,16,Finance,3.4,35.6,TRUE,TRUE,Bachelors
93,83.4,Female,4,Sales,1.8,44.4,FALSE,FALSE,Bachelors
94,113.1,Male,12,Sales,2.6,51.7,FALSE,FALSE,Bachelors
95,50.3,Female,8,Marketing,4.1,49.6,FALSE,FALSE,Bachelors
96,76.8,Male,10,Sales,2.8,32.9,TRUE,FALSE,Bachelors
97,61.8,Non-binary,6,HR,2.1,41.3,FALSE,FALSE,Bachelors
98,31,Male,1,Sales,3.3,44.4,FALSE,FALSE,Masters
99,56.5,Male,29,HR,3.5,42.3,TRUE,FALSE,Masters
100,108.4,Male,14,Sales,4.6,38.9,FALSE,FALSE,Bachelors
101,31.5,Male,28,Marketing,1.9,55.2,FALSE,FALSE,HS
102,66.7,Female,19,Finance,3.4,43.3,FALSE,FALSE,Bachelors
103,52.7,Male,16,Sales,3.6,30,TRUE,FALSE,PhD
104,81,Male,4,HR,3.7,49.7,FALSE,FALSE,Masters
105,66.4,Female,25,Finance,2.7,39,FALSE,FALSE,Masters
106,86,Female,18,HR,1.9,40.3,FALSE,TRUE,Masters
107,44.6,Male,5,Engineering,4.3,41.9,FALSE,FALSE,PhD
108,64.8,Female,6,Marketing,4,33.9,FALSE,FALSE,Bachelors
109,30,Female,7,Sales,4,45,FALSE,FALSE,Bachelors
110,54.5,Female,24,Finance,3.8,41.1,FALSE,FALSE,Bachelors
111,77.4,Female,3,Sales,2,39.8,TRUE,TRUE,Masters
112,91.3,Male,2,HR,3.3,41.8,TRUE,TRUE,Bachelors
113,58.5,Female,3,Engineering,4.3,32.4,FALSE,FALSE,Masters
114,73.4,Female,22,Marketing,3.8,43.8,FALSE,FALSE,Bachelors
115,70.7,Female,16,Marketing,3.4,54.9,TRUE,FALSE,HS
116,90.9,Male,18,Marketing,4.8,45.6,FALSE,FALSE,Bachelors
117,56.2,Male,19,Marketing,3.1,43.7,TRUE,FALSE,Bachelors
118,52.5,Male,19,Marketing,3.1,34,TRUE,FALSE,PhD
119,74.1,Female,17,HR,2.5,30,FALSE,FALSE,Bachelors
120,79.6,Female,7,Finance,2.1,43.2,FALSE,FALSE,Bachelors
121,55.2,Male,16,HR,2.4,41.6,FALSE,FALSE,Masters
122,61.2,Male,8,HR,4.3,30,TRUE,FALSE,Bachelors
123,87.3,Male,12,HR,4.6,47.9,FALSE,TRUE,HS
124,30.6,Male,12,Engineering,4.4,43.4,FALSE,FALSE,PhD
125,40.8,Male,3,HR,4,42,TRUE,FALSE,Bachelors
126,70.9,Male,10,Sales,3.8,49,TRUE,FALSE,Bachelors
127,81.1,Male,12,Sales,3.9,44.9,FALSE,FALSE,Masters
128,51.1,Male,5,Marketing,4.1,46.3,TRUE,FALSE,Bachelors
129,73.8,Female,3,HR,2.7,50,TRUE,FALSE,Masters
130,56.7,Female,25,Finance,3.1,48.3,FALSE,TRUE,HS
131,72.6,Female,4,Sales,4.4,30.2,TRUE,FALSE,Masters
132,77.5,Male,3,Marketing,3.7,40.1,FALSE,TRUE,Masters
133,89.6,Female,19,Marketing,3.8,43.7,FALSE,TRUE,Bachelors
134,51.4,Female,25,HR,3.5,43.1,TRUE,FALSE,Bachelors
135,60.4,Male,16,Sales,4.1,42.2,FALSE,FALSE,Bachelors
136,74.9,Male,15,Marketing,4.2,35.6,FALSE,TRUE,HS
137,36.5,Male,29,HR,4.4,37.6,FALSE,FALSE,Bachelors
138,94.6,Female,19,HR,3.6,40.3,FALSE,FALSE,Bachelors
139,58.8,Male,13,HR,4.5,45.1,FALSE,FALSE,PhD
140,71.6,Male,14,HR,3.6,45.4,FALSE,TRUE,Bachelors
141,110.5,Male,8,HR,3.7,44.1,FALSE,FALSE,Bachelors
142,68.3,Male,14,HR,4.1,40.4,TRUE,FALSE,Bachelors
143,57.4,Male,19,Sales,3.8,43.8,FALSE,FALSE,Bachelors
144,31.8,Male,9,Marketing,3.7,46,TRUE,TRUE,Bachelors
145,55.6,Male,29,Finance,4,46.5,TRUE,FALSE,HS
146,56.3,Male,4,Finance,3.6,42.7,FALSE,FALSE,Bachelors
147,94.6,Female,11,Sales,4,40.8,TRUE,FALSE,Bachelors
148,76.9,Female,1,HR,3.4,39.6,FALSE,FALSE,Bachelors
149,36.7,Male,10,Sales,3.2,40.5,TRUE,TRUE,Masters
150,30,Male,30,Finance,4,44.3,FALSE,FALSE,Masters
151,38.4,Female,23,Finance,3.6,42.4,FALSE,FALSE,Bachelors
152,75.7,Female,16,Finance,4,48.3,TRUE,FALSE,Masters
153,85.7,Male,11,Marketing,5,46.4,FALSE,TRUE,HS
154,54.5,Female,1,HR,3.3,40.5,FALSE,FALSE,Bachelors
155,65.3,Female,2,Marketing,3.4,51.4,FALSE,FALSE,Masters
156,88.8,Male,29,Marketing,4.7,42,FALSE,FALSE,Masters
157,76.4,Male,0,Engineering,3.5,48.5,FALSE,FALSE,Masters
158,68.9,Male,24,Marketing,4.6,47.9,FALSE,FALSE,HS
159,78.6,Male,8,Marketing,2.6,38.8,TRUE,FALSE,Bachelors
160,42.3,Male,27,Engineering,2.7,36.4,FALSE,FALSE,Masters
161,73.7,Male,26,Finance,3.5,40.1,TRUE,FALSE,Bachelors
162,47.9,Male,30,Finance,3.9,42.5,TRUE,FALSE,Bachelors
163,75.3,Female,0,Sales,2.5,40.2,TRUE,FALSE,Bachelors
164,81.6,Female,16,Finance,4,42.9,TRUE,TRUE,Bachelors
165,41.7,Female,20,Finance,2.5,46.3,TRUE,FALSE,HS
166,58.3,Male,0,Sales,3.9,47.2,FALSE,FALSE,Masters
167,33.3,Female,25,Sales,2.5,39,TRUE,FALSE,Masters
168,88.1,Female,13,Sales,4.3,39.6,TRUE,FALSE,Bachelors
169,96.6,Female,3,HR,3.9,41,FALSE,FALSE,Bachelors
170,57,Non-binary,29,Sales,4.2,45.2,FALSE,FALSE,Bachelors
171,103.1,Male,19,Sales,3,35.9,FALSE,FALSE,PhD
172,66,Male,1,Sales,3.9,41.4,TRUE,FALSE,Bachelors
173,55,Female,6,Sales,2.3,36.7,FALSE,TRUE,Masters
174,83.9,Male,17,HR,3.5,55.4,FALSE,FALSE,PhD
175,73.1,Female,11,Finance,3.4,35.3,TRUE,FALSE,Masters
176,73.6,Male,20,Sales,3.2,43.7,FALSE,FALSE,Masters
177,76,Female,5,Finance,2.8,42.7,TRUE,FALSE,Bachelors
178,49.6,Female,7,Engineering,3,45.3,FALSE,FALSE,PhD
179,75.3,Male,3,HR,3.9,41.1,TRUE,FALSE,Bachelors
180,87.1,Male,29,HR,2.2,42.2,FALSE,FALSE,Masters
181,60.1,Male,7,Engineering,2.7,43.7,TRUE,FALSE,PhD
182,39.3,Male,11,Engineering,4,42,FALSE,FALSE,Bachelors
183,69.4,Female,30,Marketing,4.7,38.3,FALSE,TRUE,Bachelors
184,99.5,Male,27,Marketing,2.7,47.3,FALSE,FALSE,Bachelors
185,46.6,Male,15,HR,2.5,55.4,TRUE,FALSE,Masters
186,67.9,Non-binary,10,HR,3.2,38.7,TRUE,FALSE,Bachelors
187,38.2,Female,13,Marketing,2.4,31.2,FALSE,FALSE,HS
188,98.4,Female,17,HR,2.6,49.5,FALSE,FALSE,Bachelors
189,76.1,Male,15,HR,2.3,44.6,TRUE,TRUE,PhD
190,55.7,Male,15,Engineering,3.3,35.2,TRUE,FALSE,Masters
191,73.9,Male,23,Finance,2.8,33.5,FALSE,FALSE,Bachelors
192,64.4,Male,0,Finance,1.4,42,FALSE,FALSE,Bachelors
193,99.5,Male,18,Sales,3,35,FALSE,TRUE,Bachelors
194,66,Male,13,Engineering,4.3,46.2,FALSE,FALSE,Masters
195,80.3,Male,29,Sales,4.7,35.3,FALSE,TRUE,Bachelors
196,60.2,Female,13,HR,2.9,41.2,FALSE,FALSE,Masters
197,62.2,Female,5,Finance,4.3,30,FALSE,FALSE,Bachelors
198,96,Male,21,Finance,2.4,44.3,TRUE,TRUE,Bachelors
199,77.7,Male,14,HR,2.8,41.9,TRUE,FALSE,Masters
200,96.1,Male,14,Sales,3,44.1,FALSE,FALSE,Bachelors
201,37.6,Male,14,HR,3.5,51.9,TRUE,FALSE,HS
202,45.4,Female,9,Marketing,1.9,36.8,FALSE,TRUE,Bachelors
203,84.1,Male,26,HR,2.9,40.1,TRUE,FALSE,HS
204,78.8,Female,18,Marketing,4,30.1,TRUE,FALSE,Bachelors
205,56.8,Female,7,Marketing,2.9,40,FALSE,FALSE,PhD
206,63.3,Female,8,Sales,4.7,42.4,FALSE,FALSE,HS
207,74,Female,20,Engineering,3.2,31.7,TRUE,FALSE,HS
208,91.6,Male,1,HR,3.8,37.2,FALSE,FALSE,Bachelors
209,30,Male,25,Finance,3.1,39.7,FALSE,FALSE,Bachelors
210,41.5,Female,6,Engineering,3.2,30.1,TRUE,TRUE,Bachelors
211,73.8,Male,1,Finance,4.1,48.6,TRUE,FALSE,Bachelors
212,77.7,Male,17,Marketing,3.4,44,TRUE,FALSE,Bachelors
213,60.8,Female,20,Sales,4.6,38,FALSE,FALSE,Bachelors
214,47.9,Female,15,Marketing,4.2,46.3,TRUE,FALSE,Bachelors
215,52.7,Male,29,Finance,4.2,42.5,FALSE,FALSE,Bachelors
216,47.6,Male,18,Engineering,3.9,44.9,TRUE,TRUE,Masters
217,78.5,Male,8,Sales,4.4,46.9,TRUE,TRUE,HS
218,72,Female,22,Engineering,2.7,40.3,TRUE,FALSE,Bachelors
219,59.3,Male,25,Finance,3.1,49.4,FALSE,FALSE,Bachelors
220,64.2,Male,15,Finance,3.6,41.3,TRUE,TRUE,Bachelors
221,67.6,Male,17,Sales,2.6,39.7,FALSE,FALSE,Bachelors
222,56.3,Male,17,Engineering,2.9,43.5,FALSE,FALSE,HS
223,106.1,Male,20,Engineering,2.8,36.5,FALSE,TRUE,Masters
224,88.1,Male,11,HR,3.1,38.2,FALSE,FALSE,PhD
225,30,Female,25,Sales,3.5,48.2,TRUE,FALSE,Masters
226,49.5,Male,4,Finance,3.7,41.6,TRUE,FALSE,PhD
227,78.3,Male,21,HR,4.6,42,TRUE,FALSE,Masters
228,54.6,Non-binary,27,HR,3.7,36.6,FALSE,FALSE,Bachelors
229,82.8,Male,19,Marketing,2.3,54.8,TRUE,FALSE,Masters
230,62.6,Male,20,Sales,3.3,44.9,FALSE,TRUE,Masters
231,47.1,Female,22,HR,4.6,43.6,TRUE,TRUE,Bachelors
232,67.8,Female,22,HR,3.3,43.9,FALSE,FALSE,Bachelors
233,63.9,Female,0,Finance,3.8,45.6,FALSE,FALSE,Bachelors
234,72.8,Male,24,HR,2.7,41.5,FALSE,FALSE,Masters
235,99.2,Female,6,HR,3.8,49.7,TRUE,FALSE,Masters
236,39.2,Male,0,Engineering,4.7,43.4,FALSE,FALSE,Bachelors
237,98.1,Female,7,Sales,4,45.3,TRUE,FALSE,Masters
238,66.4,Male,4,Sales,3.4,46.8,FALSE,FALSE,Bachelors
239,54.1,Male,23,Sales,3.3,42.6,TRUE,FALSE,Bachelors
240,76,Male,4,Marketing,2.5,43.2,TRUE,FALSE,HS
241,60,Female,28,HR,3,37.4,TRUE,FALSE,Bachelors
242,37.9,Female,21,Sales,2.5,46.5,TRUE,TRUE,Masters
243,73.8,Male,2,Sales,3.6,46.1,FALSE,FALSE,Masters
244,78,Male,6,Sales,3.4,46.3,TRUE,FALSE,Masters
245,44.5,Non-binary,18,Sales,4.9,32.3,FALSE,FALSE,Masters
246,49.2,Female,18,Marketing,4,37.6,FALSE,FALSE,Bachelors
247,49.9,Female,25,Marketing,4.1,50,TRUE,FALSE,Bachelors
248,55.6,Male,20,Sales,2.7,35.5,TRUE,FALSE,Bachelors
249,64.6,Male,22,Sales,3.2,43.5,TRUE,FALSE,Bachelors
250,84.9,Female,30,HR,3.9,40.1,TRUE,FALSE,PhD
251,64.1,Non-binary,29,Marketing,2.7,45.3,FALSE,FALSE,Bachelors
252,76,Male,29,Engineering,5,35.2,TRUE,FALSE,HS
253,35.3,Female,7,Marketing,3.5,62.3,TRUE,FALSE,Bachelors
254,35.3,Male,3,Finance,4.6,32.4,TRUE,FALSE,Bachelors
255,83.8,Female,8,HR,3,38.7,FALSE,FALSE,Bachelors
256,60.6,Male,18,Sales,1.8,50.5,TRUE,FALSE,Bachelors
257,68.2,Female,2,Engineering,2.4,45.1,FALSE,FALSE,Bachelors
258,77.9,Female,26,Finance,3.7,40.3,FALSE,FALSE,Masters
259,66.6,Male,19,Engineering,3.5,38,TRUE,FALSE,Masters
260,30,Female,19,Sales,3,41.5,FALSE,FALSE,Masters
261,61.5,Female,9,Sales,3.3,51.5,TRUE,FALSE,Masters
262,114.6,Female,30,Marketing,2.7,47.4,FALSE,FALSE,Bachelors
263,30,Male,18,HR,4.9,38.6,TRUE,FALSE,Bachelors
264,42.4,Male,6,Sales,3.8,38.5,FALSE,FALSE,Bachelors
265,67.1,Female,1,Sales,4,45.8,FALSE,FALSE,Bachelors
266,109,Female,12,Marketing,4.3,34.3,FALSE,FALSE,Bachelors
267,47.6,Non-binary,23,Marketing,3.1,39.4,FALSE,FALSE,Masters
268,69,Female,19,HR,3.8,31.9,FALSE,FALSE,Bachelors
269,68.6,Male,7,Engineering,3.8,32.9,FALSE,FALSE,HS
270,45,Female,15,Sales,4.3,41.6,FALSE,TRUE,Bachelors
271,72.9,Male,10,HR,3.3,39.3,FALSE,FALSE,HS
272,72.8,Female,11,Marketing,4.2,33.9,FALSE,FALSE,Bachelors
273,53.4,Female,3,Finance,3,46.7,TRUE,FALSE,HS
274,42.2,Non-binary,2,Sales,2.4,35.1,FALSE,FALSE,PhD
275,69.4,Male,28,Sales,3.4,45.4,FALSE,FALSE,Masters
276,48,Male,22,Sales,4.7,33,TRUE,TRUE,Masters
277,56.1,Male,18,Sales,4.2,42.6,TRUE,TRUE,Masters
278,45.2,Female,16,Finance,3.7,39.5,TRUE,FALSE,Bachelors
279,51.9,Female,20,Finance,2.7,39.6,FALSE,FALSE,Masters
280,88.5,Female,23,Sales,2.6,49.4,FALSE,FALSE,HS
281,47.2,Male,2,Engineering,3,40.6,FALSE,FALSE,PhD
282,109.9,Male,20,Engineering,3.7,30,TRUE,FALSE,HS
283,71.6,Female,7,Engineering,2.7,33.9,TRUE,FALSE,Bachelors
284,65.2,Female,10,Marketing,4.7,43.8,TRUE,FALSE,Masters
285,99.9,Male,0,HR,3.8,49.6,TRUE,FALSE,Bachelors
286,73.5,Male,22,HR,3.7,45.7,TRUE,FALSE,Masters
287,53.8,Female,5,Sales,4.9,45.7,FALSE,FALSE,Masters
288,58.4,Male,27,HR,3.6,39.8,TRUE,TRUE,Bachelors
289,51,Female,28,Marketing,3.2,50.8,FALSE,TRUE,PhD
290,88.9,Female,18,Finance,4.2,43.4,FALSE,FALSE,Masters
291,47.9,Female,9,Finance,3.1,44.6,FALSE,FALSE,PhD
292,50.9,Female,2,Marketing,3.7,42.1,FALSE,FALSE,HS
293,71.8,Male,17,Engineering,4.4,47,TRUE,FALSE,Masters
294,63.5,Male,9,HR,3.4,44.2,FALSE,FALSE,Bachelors
295,62.1,Female,20,HR,4.8,38.7,FALSE,FALSE,Masters
296,30,Male,1,Finance,4.5,47.7,FALSE,FALSE,PhD
297,80.1,Male,27,HR,2.9,50.9,FALSE,FALSE,Bachelors
298,30,Male,23,Engineering,2.2,35.8,FALSE,FALSE,Masters
299,75.4,Male,19,Marketing,4.2,40.5,FALSE,FALSE,PhD
300,48.4,Male,6,HR,3.8,47.3,FALSE,FALSE,HS
301,75.3,Male,28,Marketing,3.3,38.9,FALSE,FALSE,Masters
302,36.6,Female,18,HR,3,42.3,FALSE,FALSE,Bachelors
303,61.7,Male,20,Sales,4.1,49.8,FALSE,TRUE,PhD
304,72.1,Male,10,HR,4.5,47.1,TRUE,FALSE,HS
305,107.2,Male,22,Sales,2.9,34.8,FALSE,FALSE,Masters
306,64,Male,13,HR,1.7,47.7,TRUE,FALSE,Bachelors
307,87.4,Male,18,HR,4.1,44.3,TRUE,FALSE,Bachelors
308,30,Female,27,Sales,3.4,43.4,FALSE,TRUE,PhD
309,59.4,Male,9,Marketing,3.7,46,FALSE,TRUE,PhD
310,86.5,Female,28,HR,3.4,45.9,TRUE,FALSE,Masters
311,65.7,Male,22,Marketing,3.3,37.3,FALSE,FALSE,Masters
312,73,Male,13,HR,4.7,35.2,FALSE,FALSE,Bachelors
313,44.9,Male,4,Marketing,2.8,55.7,TRUE,FALSE,Masters
314,51.7,Female,26,Engineering,2.5,44.1,FALSE,FALSE,Bachelors
315,30,Female,17,Sales,3.8,40,FALSE,FALSE,PhD
316,77.8,Male,28,Engineering,3.1,49.2,TRUE,TRUE,HS
317,84.6,Male,1,Sales,3.2,43.6,FALSE,FALSE,Bachelors
318,35.7,Female,12,Sales,2.7,30,TRUE,FALSE,Bachelors
319,57.4,Female,25,Marketing,3.7,37.6,FALSE,FALSE,Masters
320,80.7,Male,2,Finance,4.3,50.2,FALSE,FALSE,Bachelors
321,59.3,Male,2,Engineering,4.4,47.1,FALSE,FALSE,Masters
322,85.5,Male,29,HR,3.1,34.5,TRUE,FALSE,Masters
323,40.3,Male,4,Sales,3.1,46.9,FALSE,FALSE,Masters
324,88,Male,18,Sales,2.9,31.7,FALSE,TRUE,Masters
325,37.8,Female,3,Marketing,3.3,41.6,FALSE,FALSE,Bachelors
326,80.9,Male,12,Marketing,4.2,35.1,TRUE,FALSE,HS
327,89,Female,20,Marketing,2.8,34.6,FALSE,FALSE,Bachelors
328,96.9,Female,21,Sales,1.9,44.6,FALSE,FALSE,Masters
329,49.2,Male,19,HR,2.7,40,FALSE,TRUE,Bachelors
330,74.1,Female,23,Engineering,3.6,34,TRUE,FALSE,Masters
331,79.3,Male,30,Finance,2.6,32.5,TRUE,FALSE,PhD
332,82.8,Male,8,Engineering,4.1,40.4,FALSE,TRUE,Masters
333,30,Male,16,Sales,5,43.8,TRUE,FALSE,Masters
334,80.2,Female,18,Marketing,3.4,48.5,FALSE,FALSE,Masters
335,71.6,Male,3,Finance,2.8,41,FALSE,FALSE,Bachelors
336,84.7,Female,16,Marketing,3,34.2,TRUE,FALSE,Masters
337,60.7,Female,19,Sales,4.5,47.2,FALSE,FALSE,Masters
338,106.5,Non-binary,14,Sales,4.2,30,TRUE,FALSE,Bachelors
339,91,Female,8,HR,3.7,50.8,TRUE,TRUE,Masters
340,58.2,Female,23,Sales,2.8,47.5,FALSE,FALSE,Bachelors
341,69.4,Female,9,HR,4.6,37.9,TRUE,FALSE,Bachelors
342,64.7,Male,14,Engineering,4.2,43.9,TRUE,FALSE,Masters
343,50.6,Male,1,Finance,5,50.2,FALSE,FALSE,Masters
344,38.1,Female,11,HR,3.2,33.7,TRUE,FALSE,Masters
345,68.4,Non-binary,30,Engineering,3,38,FALSE,FALSE,Masters
346,77.9,Male,24,HR,3,43.5,TRUE,TRUE,Bachelors
347,71.6,Female,29,Engineering,3.2,38.9,TRUE,FALSE,Bachelors
348,30,Female,5,Finance,4.2,34.5,FALSE,FALSE,HS
349,61.9,Non-binary,15,HR,4.4,49.4,TRUE,FALSE,Masters
350,56.2,Male,30,Marketing,3.8,33.3,FALSE,FALSE,PhD
351,90.1,Female,23,Finance,3,36.7,FALSE,FALSE,Bachelors
352,59.5,Female,0,Finance,2.8,31.9,TRUE,TRUE,Bachelors
353,69.3,Female,29,Engineering,3.7,38.1,FALSE,TRUE,Bachelors
354,75.2,Female,5,Engineering,3.1,49.4,FALSE,TRUE,Masters
355,56.6,Male,16,Sales,5,32.3,TRUE,FALSE,Bachelors
356,96.8,Non-binary,19,HR,4.7,45.9,FALSE,FALSE,Bachelors
357,71.2,Female,5,Sales,3.6,40.9,TRUE,TRUE,Bachelors
358,78.1,Male,19,Sales,3,43.1,FALSE,FALSE,Bachelors
359,64.8,Male,10,Marketing,4.6,35.8,TRUE,FALSE,Bachelors
360,83.7,Female,19,Sales,3.5,42.5,TRUE,FALSE,PhD
361,30,Female,7,HR,3.6,49.3,TRUE,FALSE,Bachelors
362,35.7,Female,16,Finance,3.8,38.7,TRUE,FALSE,Bachelors
363,63.4,Female,5,Marketing,2.7,42.6,TRUE,FALSE,Bachelors
364,93.9,Female,1,Marketing,4.3,52,FALSE,TRUE,Bachelors
365,80.4,Non-binary,11,Finance,4,49.1,FALSE,FALSE,Masters
366,78.7,Female,19,Engineering,3.8,44.8,FALSE,TRUE,PhD
367,71.7,Male,17,Finance,4.7,38.8,FALSE,FALSE,Masters
368,48,Female,19,Sales,3.5,37.4,TRUE,FALSE,Bachelors
369,70.7,Female,16,Engineering,3.3,39.8,TRUE,FALSE,HS
370,79.1,Female,18,Finance,3.9,32.8,FALSE,FALSE,Bachelors
371,54.2,Female,2,Sales,5,36.6,TRUE,FALSE,Masters
