"proj_id","recipient_country","start_year","sector","commitment_usd_m","implementation_years","completed","eval_score"
137,"C33",2022,"Health",24.2,3,1,5
138,"C72",2016,"Governance",61.9,8,1,3
139,"C29",2000,"Infrastructure",25.9,1,0,NA
140,"C37",2022,"Other",34.9,2,0,NA
141,"C68",2010,"Health",7.8,3,1,5
142,"C61",2004,"Education",2.7,8,1,3
143,"C44",2022,"Health",3.4,4,1,5
144,"C61",2014,"Education",9.4,6,1,3
145,"C71",2018,"Infrastructure",3.5,6,1,3
146,"C63",2002,"Other",56.6,1,1,4
147,"C16",2018,"Other",2.5,2,1,4
148,"C08",2022,"Other",4.1,6,1,4
149,"C20",2004,"Other",16.1,7,0,NA
150,"C66",2016,"Infrastructure",7.8,4,1,4
151,"C61",2011,"Infrastructure",12,3,1,1
152,"C72",2007,"Education",3.2,8,0,NA
153,"C35",2024,"Governance",38.5,4,1,2
154,"C46",2023,"Infrastructure",19.3,6,1,4
155,"C27",2019,"Education",26.4,2,1,3
156,"C34",2000,"Infrastructure",98.7,1,1,4
157,"C34",2022,"Health",16.2,5,1,4
158,"C01",2021,"Governance",48.3,7,0,NA
159,"C47",2012,"Infrastructure",11.2,5,1,3
160,"C28",2013,"Education",17.3,5,0,NA
161,"C79",2003,"Education",17.4,6,0,NA
162,"C10",2019,"Governance",12.6,3,1,1
163,"C59",2012,"Other",41.2,5,1,1
164,"C17",2005,"Education",28.2,8,1,4
165,"C32",2019,"Health",36.1,3,1,5
166,"C31",2010,"Education",34.6,2,0,NA
167,"C81",2006,"Governance",2.1,2,0,NA
168,"C68",2013,"Education",28.6,7,1,3
169,"C15",2001,"Infrastructure",88.8,7,1,3
170,"C88",2008,"Infrastructure",56.1,7,1,3
171,"C61",2004,"Infrastructure",3.6,8,1,4
172,"C56",2003,"Other",6.8,4,1,3
173,"C42",2005,"Infrastructure",5.7,4,1,3
174,"C41",2008,"Infrastructure",8.2,8,1,3
175,"C31",2005,"Infrastructure",42.1,2,1,5
176,"C15",2021,"Health",34.7,7,1,2
177,"C54",2014,"Governance",4.7,7,1,5
178,"C56",2022,"Health",10.9,1,1,4
179,"C78",2006,"Governance",59.1,1,1,2
180,"C24",2012,"Health",22.1,4,1,4
181,"C82",2016,"Infrastructure",5,6,0,NA
182,"C38",2021,"Health",25.8,7,1,3
183,"C89",2008,"Governance",19.1,8,1,2
184,"C37",2008,"Infrastructure",21.4,4,0,NA
185,"C78",2012,"Health",9.9,3,0,NA
186,"C10",2015,"Infrastructure",12.8,5,1,1
187,"C77",2019,"Infrastructure",40.5,8,1,3
188,"C90",2024,"Education",12.5,5,1,1
189,"C59",2011,"Other",11.8,6,1,5
190,"C43",2009,"Governance",11.2,7,1,2
191,"C70",2019,"Infrastructure",31.8,2,0,NA
192,"C15",2024,"Health",7.5,6,1,4
193,"C58",2001,"Infrastructure",92.7,1,1,4
194,"C03",2011,"Education",51,5,1,3
195,"C83",2010,"Health",7.4,8,1,2
196,"C36",2014,"Health",53.4,3,1,4
197,"C81",2002,"Education",13.4,1,0,NA
198,"C27",2014,"Health",81.7,1,0,NA
199,"C74",2005,"Other",7.4,6,0,NA
200,"C05",2008,"Infrastructure",39.2,1,1,4
201,"C08",2008,"Governance",25.7,7,0,NA
202,"C23",2017,"Infrastructure",21,5,0,NA
203,"C18",2000,"Infrastructure",8,6,1,4
204,"C47",2005,"Other",12.1,6,1,5
205,"C68",2013,"Governance",7.2,2,1,3
206,"C44",2021,"Governance",11.3,6,1,3
207,"C44",2014,"Infrastructure",38.9,2,0,NA
208,"C64",2023,"Infrastructure",10.4,1,1,2
209,"C27",2019,"Health",25.6,1,1,3
210,"C50",2023,"Health",17.2,7,1,3
211,"C68",2001,"Infrastructure",4.8,7,1,2
212,"C52",2013,"Infrastructure",19.7,8,1,3
213,"C12",2015,"Infrastructure",10,4,1,2
214,"C30",2023,"Infrastructure",3.2,6,1,3
215,"C85",2022,"Education",14.4,1,1,5
216,"C42",2003,"Education",6.1,1,1,3
217,"C45",2004,"Infrastructure",29.4,7,1,2
218,"C90",2020,"Education",4.7,7,1,4
219,"C51",2006,"Infrastructure",32.1,8,1,3
220,"C22",2000,"Other",32,3,1,5
221,"C08",2021,"Infrastructure",20.1,7,1,1
222,"C86",2012,"Other",7.9,4,1,3
223,"C67",2019,"Infrastructure",6.5,4,1,4
224,"C37",2011,"Infrastructure",36.9,1,1,4
225,"C51",2016,"Governance",6.4,4,0,NA
226,"C50",2007,"Education",41.3,7,1,3
227,"C74",2010,"Education",6.2,1,1,3
228,"C55",2012,"Other",24.8,5,1,4
229,"C70",2008,"Health",13.8,8,1,4
230,"C40",2023,"Other",19.9,6,1,4
231,"C31",2013,"Infrastructure",32.7,2,1,5
232,"C03",2010,"Infrastructure",9.5,1,1,2
233,"C06",2020,"Governance",19.5,3,1,1
234,"C82",2010,"Health",61.8,8,1,1
235,"C04",2001,"Health",9.7,2,1,3
236,"C73",2009,"Other",4.7,6,1,4
237,"C81",2023,"Governance",36.5,4,0,NA
238,"C58",2008,"Infrastructure",2,3,1,4
239,"C80",2012,"Infrastructure",14,8,1,5
240,"C84",2012,"Infrastructure",17.9,5,1,2
241,"C21",2009,"Other",8.7,6,1,4
242,"C53",2003,"Infrastructure",47.3,1,1,3
243,"C38",2006,"Education",20.3,6,0,NA
244,"C38",2024,"Health",5.2,8,1,1
245,"C04",2010,"Health",7.1,5,1,2
246,"C46",2015,"Education",10.5,5,1,3
247,"C88",2019,"Health",8.3,4,1,1
248,"C67",2020,"Health",22.4,3,1,3
249,"C05",2010,"Governance",8.5,3,1,3
250,"C07",2008,"Infrastructure",21.3,3,1,2
251,"C44",2020,"Infrastructure",22.3,7,1,3
252,"C56",2019,"Other",2.5,5,1,5
253,"C32",2000,"Governance",49.3,1,1,2
254,"C15",2016,"Other",39.3,7,1,1
255,"C72",2024,"Other",3.4,1,0,NA
256,"C58",2017,"Infrastructure",4,8,1,4
257,"C56",2012,"Infrastructure",35.8,5,1,3
258,"C27",2001,"Education",15.8,4,1,5
259,"C72",2001,"Infrastructure",27.4,5,1,2
260,"C68",2001,"Infrastructure",28.5,8,0,NA
261,"C38",2001,"Health",19.1,7,1,5
262,"C62",2012,"Other",33.9,6,1,2
263,"C10",2007,"Education",22.9,4,1,4
264,"C14",2019,"Governance",3.3,2,1,4
265,"C38",2019,"Governance",13.3,6,1,3
266,"C51",2014,"Education",6.8,4,1,3
267,"C30",2022,"Other",31.3,4,1,4
268,"C79",2006,"Infrastructure",31.5,3,1,1
269,"C57",2006,"Health",16.6,4,1,3
270,"C79",2023,"Education",28.1,1,1,2
271,"C83",2006,"Education",13.8,2,1,5
272,"C45",2019,"Infrastructure",14.8,3,0,NA
273,"C01",2021,"Infrastructure",37.1,8,1,2
274,"C64",2007,"Other",18.7,5,1,2
275,"C90",2004,"Infrastructure",4.9,6,0,NA
276,"C27",2015,"Education",2.8,7,0,NA
277,"C40",2018,"Infrastructure",37.8,2,1,3
278,"C90",2000,"Health",2.9,8,0,NA
279,"C49",2004,"Health",4.4,1,0,NA
280,"C51",2003,"Health",4.2,5,1,4
281,"C34",2017,"Infrastructure",7.2,8,1,3
282,"C75",2021,"Governance",20.2,1,1,4
283,"C21",2022,"Health",10.4,2,1,4
284,"C67",2015,"Health",17,6,1,5
285,"C50",2001,"Governance",6.1,7,1,5
286,"C74",2004,"Other",15.7,7,1,4
287,"C38",2012,"Health",28.7,8,1,4
288,"C60",2016,"Infrastructure",91.7,7,1,3
289,"C62",2000,"Governance",3.8,1,1,4
290,"C45",2022,"Health",9,3,1,4
291,"C59",2009,"Other",10.6,5,0,NA
292,"C16",2009,"Other",11.2,4,0,NA
293,"C01",2015,"Governance",22,2,0,NA
294,"C01",2022,"Infrastructure",73.5,7,1,5
295,"C84",2004,"Governance",35.3,4,1,3
296,"C40",2008,"Other",15.9,2,0,NA
297,"C24",2019,"Governance",13,5,1,4
298,"C77",2010,"Governance",70.3,6,1,4
299,"C10",2006,"Governance",2.4,3,0,NA
300,"C90",2000,"Education",28.3,3,1,4
301,"C71",2012,"Infrastructure",26.5,5,1,2
302,"C41",2014,"Governance",2.3,4,1,3
303,"C29",2023,"Education",66.1,3,0,NA
304,"C78",2003,"Education",5.4,4,0,NA
305,"C41",2019,"Other",56.8,2,1,2
306,"C73",2004,"Health",25.2,4,1,1
307,"C37",2017,"Education",4.9,8,0,NA
308,"C58",2006,"Education",15.4,4,0,NA
309,"C71",2016,"Governance",8.4,4,0,NA
310,"C03",2002,"Infrastructure",50.1,7,1,4
311,"C78",2024,"Education",20.8,7,0,NA
312,"C24",2004,"Infrastructure",13.8,8,1,5
313,"C66",2007,"Education",12.7,5,0,NA
314,"C71",2002,"Health",10.2,1,1,3
315,"C02",2017,"Health",14.4,6,1,5
316,"C16",2016,"Health",82.9,3,0,NA
317,"C62",2000,"Health",12.2,1,1,4
318,"C71",2009,"Health",10.8,6,1,2
319,"C61",2023,"Health",94.6,6,1,1
320,"C90",2014,"Other",124.3,7,1,3
321,"C55",2012,"Health",65.8,5,1,3
322,"C25",2002,"Governance",2.1,3,1,3
323,"C76",2017,"Health",21.9,1,1,4
324,"C07",2015,"Health",46.4,8,1,4
325,"C77",2023,"Other",20.1,1,1,2
326,"C88",2013,"Health",4.4,3,1,3
327,"C36",2008,"Infrastructure",37.4,8,0,NA
328,"C65",2021,"Other",38.1,2,1,4
329,"C19",2005,"Health",3.2,1,1,1
330,"C36",2000,"Education",5.7,5,1,4
331,"C59",2022,"Governance",6,2,1,3
332,"C40",2001,"Other",8.5,1,1,5
333,"C88",2015,"Other",18.1,3,0,NA
334,"C09",2021,"Other",27.3,5,1,4
335,"C61",2006,"Governance",2.1,6,1,3
336,"C57",2018,"Infrastructure",11.7,5,0,NA
337,"C19",2013,"Infrastructure",7.9,2,1,3
338,"C44",2003,"Health",18.5,3,1,3
339,"C41",2002,"Health",10.7,1,0,NA
340,"C28",2016,"Other",4.1,3,1,2
341,"C06",2009,"Infrastructure",19.9,6,1,4
342,"C47",2001,"Governance",14,1,1,4
343,"C54",2010,"Governance",6.9,1,1,3
344,"C16",2007,"Health",3.1,5,1,5
345,"C31",2008,"Health",43.2,6,1,5
346,"C85",2010,"Governance",14,8,0,NA
347,"C58",2010,"Other",8,6,0,NA
348,"C01",2019,"Health",31.3,5,1,3
349,"C40",2013,"Infrastructure",42.8,4,1,3
350,"C15",2005,"Education",5.4,3,1,2
351,"C69",2014,"Education",23,8,1,3
352,"C84",2019,"Infrastructure",15.3,4,1,4
353,"C28",2003,"Other",26.3,2,1,4
354,"C41",2020,"Infrastructure",12.1,1,0,NA
355,"C27",2008,"Other",4.7,8,1,2
356,"C41",2005,"Other",14.6,8,1,3
357,"C46",2010,"Other",6.5,1,1,3
358,"C66",2002,"Other",40.5,6,0,NA
359,"C81",2024,"Health",21.9,6,0,NA
360,"C67",2011,"Other",23.8,8,0,NA
361,"C04",2010,"Health",7.7,8,1,3
362,"C81",2005,"Governance",81.4,5,1,3
363,"C73",2015,"Governance",18.4,1,0,NA
364,"C52",2014,"Governance",44.5,2,1,4
365,"C57",2011,"Education",22.6,4,1,4
366,"C64",2024,"Infrastructure",23.7,4,0,NA
367,"C67",2000,"Education",26.2,8,1,4
368,"C59",2000,"Governance",52.6,4,1,2
369,"C12",2018,"Education",28.9,2,1,5
370,"C20",2007,"Other",12,4,1,3
371,"C32",2003,"Governance",20.3,7,1,3
372,"C54",2022,"Education",6.6,5,1,5
373,"C90",2017,"Other",24.2,3,1,2
374,"C48",2023,"Other",3.3,7,1,4
375,"C35",2024,"Infrastructure",5.9,8,1,3
376,"C34",2009,"Health",8.5,2,1,3
377,"C64",2023,"Education",2,3,1,3
378,"C16",2007,"Infrastructure",61.8,1,1,3
379,"C14",2006,"Education",17.9,5,0,NA
380,"C44",2015,"Health",16.1,2,1,4
381,"C49",2013,"Infrastructure",13.1,2,1,4
382,"C56",2021,"Infrastructure",22.2,4,1,2
383,"C41",2002,"Education",6.7,6,1,1
384,"C11",2003,"Health",3.2,4,0,NA
385,"C41",2020,"Health",46.6,1,1,4
386,"C07",2008,"Other",38,6,1,4
387,"C76",2000,"Education",17.7,3,1,3
388,"C75",2015,"Infrastructure",43.7,7,1,3
389,"C06",2011,"Governance",40.9,3,1,4
390,"C21",2000,"Governance",4,4,1,3
391,"C47",2021,"Other",13.5,4,1,4
392,"C79",2021,"Health",3.7,5,1,3
393,"C81",2022,"Other",17.6,4,1,2
394,"C16",2014,"Governance",3.7,3,1,2
395,"C23",2007,"Other",4.1,3,1,3
396,"C37",2023,"Education",28,5,1,3
397,"C19",2019,"Education",8.5,6,1,4
398,"C80",2008,"Education",18.8,5,1,4
399,"C59",2014,"Governance",72.2,4,0,NA
400,"C14",2009,"Other",19.8,5,1,4
401,"C48",2001,"Health",2.5,2,0,NA
402,"C54",2009,"Education",10.1,6,1,4
403,"C02",2020,"Education",9.3,8,0,NA
404,"C09",2013,"Governance",23,2,1,5
405,"C39",2013,"Other",27.2,4,1,3
406,"C13",2012,"Governance",56.1,5,0,NA
407,"C01",2010,"Governance",25,5,1,3
408,"C86",2017,"Infrastructure",9.5,5,1,3
409,"C81",2007,"Infrastructure",13.1,6,1,5
410,"C83",2010,"Other",4.2,4,1,4
411,"C32",2009,"Health",61.4,5,1,5
412,"C31",2019,"Infrastructure",30,4,0,NA
413,"C24",2014,"Other",5.5,6,0,NA
414,"C60",2012,"Governance",16.2,4,0,NA
415,"C13",2009,"Health",6.3,1,0,NA
416,"C56",2023,"Education",15.8,4,1,4
417,"C18",2020,"Infrastructure",9.4,5,1,3
418,"C52",2004,"Governance",19.8,8,1,4
419,"C69",2024,"Education",29.7,8,1,3
420,"C24",2019,"Infrastructure",173.8,3,1,3
421,"C76",2010,"Governance",23.9,7,0,NA
422,"C10",2020,"Governance",11.7,4,1,2
423,"C29",2021,"Health",14.4,7,1,4
424,"C08",2019,"Infrastructure",15.2,7,0,NA
425,"C43",2004,"Governance",8.1,6,1,3
426,"C56",2004,"Education",2.5,6,1,2
427,"C87",2018,"Infrastructure",16.9,3,1,2
428,"C08",2005,"Infrastructure",6.5,5,0,NA
429,"C10",2020,"Infrastructure",12.6,2,1,3
430,"C52",2010,"Other",2.6,3,1,5
431,"C46",2022,"Other",14.4,5,1,4
432,"C26",2022,"Infrastructure",45.6,7,1,3
433,"C19",2002,"Infrastructure",3.9,7,1,4
434,"C05",2012,"Infrastructure",48.5,4,1,3
435,"C82",2010,"Other",18.5,2,1,4
436,"C85",2002,"Education",38.7,7,1,3
437,"C62",2005,"Infrastructure",15.7,4,1,3
438,"C02",2023,"Education",49.5,7,1,4
439,"C12",2005,"Health",29.7,1,0,NA
440,"C80",2004,"Infrastructure",45.9,3,1,3
441,"C12",2014,"Infrastructure",17.4,6,1,5
442,"C25",2009,"Infrastructure",16.1,4,0,NA
443,"C42",2014,"Governance",45.5,2,1,3
444,"C13",2022,"Governance",47.1,2,1,5
445,"C42",2022,"Other",52.4,1,0,NA
446,"C07",2006,"Governance",30.3,7,0,NA
447,"C52",2000,"Other",11.3,1,1,4
448,"C12",2008,"Health",28.4,8,1,2
449,"C22",2018,"Infrastructure",11.7,2,1,2
450,"C25",2000,"Health",2.9,4,1,2
451,"C61",2020,"Infrastructure",30.4,6,1,3
452,"C33",2022,"Other",19.7,7,1,2
453,"C28",2008,"Infrastructure",19.1,2,1,3
454,"C32",2004,"Infrastructure",37,7,1,3
455,"C36",2001,"Infrastructure",6.9,5,1,3
456,"C65",2012,"Education",25.9,4,0,NA
457,"C04",2002,"Education",5.1,7,1,4
458,"C30",2009,"Infrastructure",12.5,5,0,NA
459,"C16",2009,"Education",14.7,8,1,5
460,"C19",2012,"Governance",11,3,0,NA
461,"C33",2009,"Infrastructure",9.1,6,0,NA
462,"C56",2015,"Other",5.4,2,1,5
463,"C76",2022,"Infrastructure",35.5,2,0,NA
464,"C34",2014,"Health",7.2,5,1,4
465,"C38",2010,"Other",2.9,5,0,NA
466,"C07",2024,"Health",10.3,1,1,3
467,"C15",2020,"Health",9.3,2,0,NA
468,"C13",2018,"Other",21.5,4,1,2
469,"C43",2005,"Education",7.9,5,1,5
470,"C88",2012,"Health",11.1,4,0,NA
471,"C30",2014,"Health",23.4,8,0,NA
472,"C73",2021,"Infrastructure",5.3,1,1,2
473,"C39",2014,"Governance",57.7,8,1,3
474,"C49",2006,"Education",16.7,1,1,3
475,"C20",2000,"Health",28.1,5,1,3
476,"C60",2022,"Infrastructure",20.3,4,1,3
477,"C08",2021,"Education",4.3,2,1,4
478,"C13",2001,"Infrastructure",7.6,7,1,5
479,"C61",2012,"Education",7.7,1,1,3
480,"C27",2013,"Health",40.7,2,1,4
481,"C19",2010,"Infrastructure",2.2,7,1,4
482,"C76",2003,"Infrastructure",18,8,1,4
483,"C87",2021,"Governance",9.4,6,0,NA
484,"C81",2022,"Governance",32,2,0,NA
485,"C81",2018,"Governance",3.3,6,0,NA
486,"C53",2009,"Infrastructure",3,7,1,5
487,"C38",2008,"Infrastructure",24,1,1,5
488,"C73",2015,"Infrastructure",8,5,0,NA
489,"C68",2017,"Health",34.5,2,1,4
490,"C01",2007,"Infrastructure",4.5,3,1,3
491,"C19",2006,"Governance",5.1,6,1,3
492,"C18",2011,"Education",46.8,6,1,3
493,"C49",2015,"Other",2.4,1,1,3
494,"C09",2006,"Education",3.8,5,1,2
495,"C08",2013,"Other",4.9,5,1,4
496,"C06",2023,"Infrastructure",73.6,3,1,4
497,"C07",2019,"Education",24.6,7,0,NA
498,"C58",2004,"Governance",20.4,3,1,4
499,"C03",2019,"Infrastructure",64.8,2,1,3
500,"C32",2012,"Other",11.1,3,1,5
501,"C47",2019,"Infrastructure",18.9,1,1,3
502,"C68",2021,"Health",2,6,1,4
503,"C86",2012,"Infrastructure",45.4,5,1,4
504,"C65",2015,"Education",6.9,1,1,2
505,"C26",2016,"Infrastructure",2.7,7,0,NA
506,"C01",2001,"Governance",5.1,1,1,3
507,"C68",2005,"Education",24.6,2,1,3
508,"C67",2004,"Education",10.2,4,1,4
509,"C03",2022,"Education",37.5,1,0,NA
510,"C13",2021,"Infrastructure",20.2,8,1,3
511,"C39",2002,"Health",7.7,7,1,2
512,"C42",2024,"Other",37.7,3,1,3
513,"C86",2020,"Education",3.9,2,0,NA
514,"C02",2023,"Education",5.8,2,1,4
515,"C23",2006,"Health",25.4,6,1,4
516,"C05",2009,"Education",7.1,2,1,3
517,"C41",2004,"Other",10.2,3,1,3
518,"C54",2023,"Governance",82,4,0,NA
519,"C82",2002,"Infrastructure",8.1,8,1,2
520,"C48",2010,"Health",8.3,5,1,3
521,"C50",2009,"Health",4.9,5,1,4
522,"C60",2007,"Other",7.8,4,1,3
523,"C46",2008,"Infrastructure",14.3,8,1,4
524,"C35",2010,"Education",4.6,2,0,NA
525,"C70",2024,"Education",8.5,6,1,4
526,"C57",2019,"Health",3.5,6,1,4
527,"C66",2004,"Other",11.3,5,1,4
528,"C33",2019,"Infrastructure",24.7,2,1,4
529,"C26",2008,"Health",32.5,3,1,3
530,"C77",2003,"Other",8,7,1,4
531,"C68",2022,"Education",8.3,6,1,4
532,"C52",2022,"Other",58.1,8,1,3
533,"C53",2000,"Health",27.4,1,1,4
534,"C80",2015,"Infrastructure",14.4,4,1,3
535,"C09",2007,"Health",10.1,4,1,4
536,"C64",2015,"Education",10.2,3,1,4
537,"C48",2020,"Governance",13.9,3,1,4
538,"C48",2020,"Infrastructure",9.9,1,1,4
539,"C61",2018,"Education",7.3,6,1,5
540,"C36",2007,"Governance",6.7,4,0,NA
541,"C36",2004,"Education",25.1,4,1,3
542,"C81",2015,"Education",19.5,1,0,NA
543,"C32",2004,"Infrastructure",18.2,1,1,4
544,"C61",2023,"Health",37.3,3,1,4
545,"C32",2000,"Infrastructure",16.4,6,1,4
546,"C41",2021,"Other",64.9,1,0,NA
547,"C46",2022,"Infrastructure",21,3,1,4
548,"C52",2002,"Other",7.4,1,1,3
549,"C83",2020,"Health",11.4,4,1,3
550,"C18",2009,"Education",24.3,2,1,3
551,"C14",2022,"Infrastructure",25,4,1,3
552,"C29",2002,"Infrastructure",8.3,3,1,4
553,"C39",2022,"Education",18,8,1,3
554,"C63",2022,"Health",39,6,1,4
555,"C10",2024,"Governance",5.8,7,1,3
556,"C07",2016,"Governance",17.9,4,1,4
557,"C18",2007,"Education",5,6,1,1
558,"C84",2002,"Governance",5.1,2,0,NA
559,"C11",2014,"Governance",13.1,5,1,4
560,"C29",2017,"Education",2.8,1,1,2
561,"C90",2011,"Other",36.1,4,0,NA
562,"C25",2003,"Health",20.6,3,1,4
563,"C29",2013,"Infrastructure",10.8,5,1,4
564,"C41",2009,"Infrastructure",29.9,3,1,1
565,"C60",2009,"Other",9.9,7,1,5
566,"C33",2010,"Education",47.2,4,1,3
567,"C64",2004,"Infrastructure",26.2,3,0,NA
568,"C60",2022,"Education",20.1,3,1,2
569,"C78",2023,"Infrastructure",11.4,3,1,2
570,"C79",2006,"Governance",30.5,3,1,5
571,"C03",2014,"Education",36.2,8,1,2
572,"C19",2007,"Infrastructure",48.4,2,0,NA
