"org_id","year","field","employees","expenses","grant_amount","gov_grant","private_grant","beneficiaries_served","rating"
771,2021,"Health",30,1005336,51954,0,0,188,4
762,2018,"Arts",24,151312,252780,0,1,204,4
351,2016,"Other",40,1106233,175312,0,0,217,3
415,2023,"Environment",32,703280,84847,1,0,195,3
823,2020,"Education",32,59192,12587,1,0,208,4
703,2024,"Environment",26,3427509,125224,1,0,187,3
539,2021,"Education",34,410106,17080,0,0,185,4
570,2022,"Education",31,318904,137376,0,1,183,4
48,2020,"Health",36,569899,10645,1,0,223,1
528,2024,"Other",32,450123,298909,0,1,184,3
856,2018,"Environment",33,720294,34864,0,1,205,4
830,2014,"Education",31,603298,18192,0,0,186,5
541,2024,"Other",34,1661781,72381,0,0,190,3
765,2013,"Arts",26,321495,60323,0,1,204,4
207,2014,"Other",22,688244,203042,0,1,215,4
671,2016,"Other",41,1428818,66294,0,1,214,4
706,2015,"Environment",29,526753,466670,1,1,200,5
732,2024,"Education",31,331725,22183,0,0,183,3
495,2019,"Education",35,3696444,24956,0,1,202,3
832,2019,"Environment",29,289210,46912,1,0,178,2
750,2018,"Arts",28,1440550,304648,0,0,167,4
579,2017,"Other",32,568339,120053,0,1,203,3
257,2022,"Arts",42,218829,38676,0,0,206,4
559,2017,"Arts",37,591940,33991,0,1,209,3
598,2024,"Environment",30,856396,42052,0,0,216,5
524,2014,"Education",28,494359,35815,1,0,187,3
379,2019,"Environment",31,1478988,657,0,1,198,4
778,2015,"Health",24,5643657,58222,1,1,203,4
737,2020,"Education",32,894288,220858,1,1,208,1
37,2024,"Education",32,250179,108894,1,1,214,5
223,2012,"Other",35,1608137,103784,0,0,206,5
417,2016,"Other",33,209686,75022,0,0,191,4
82,2023,"Arts",28,195913,11095,0,1,201,3
467,2017,"Arts",19,1037473,53798,0,0,179,5
589,2021,"Environment",22,3149024,33828,0,1,214,3
805,2012,"Education",30,5087969,16431,0,0,188,4
770,2015,"Arts",28,190205,211,0,0,201,4
166,2019,"Arts",25,438787,28470,1,0,189,2
215,2013,"Environment",36,2852760,82066,0,0,196,4
789,2020,"Education",32,566536,24403,0,1,188,4
112,2012,"Health",26,2701974,118306,1,1,198,4
872,2024,"Arts",37,700803,418332,1,0,191,5
297,2021,"Health",29,300939,18718,1,1,204,4
515,2023,"Arts",42,327790,123420,0,0,196,1
472,2016,"Arts",25,366247,13775,0,1,211,4
548,2023,"Education",30,489377,103807,0,0,188,2
465,2012,"Other",28,228577,249180,1,1,189,4
875,2014,"Education",32,717675,15501,0,1,192,4
851,2021,"Arts",33,829080,48330,1,0,199,2
7,2024,"Other",24,103263,35199,0,0,208,4
128,2016,"Arts",32,81032,54583,1,1,184,1
117,2024,"Education",44,2388177,23018,0,1,189,5
689,2023,"Arts",33,124350,226063,0,1,203,5
700,2013,"Other",20,1477607,112498,1,1,192,3
867,2018,"Education",33,2407008,109501,0,1,195,4
321,2020,"Arts",26,204025,40485,0,1,178,1
103,2015,"Health",28,764271,15448,0,1,205,2
781,2012,"Other",38,624769,202462,1,1,203,4
852,2015,"Health",27,381792,99042,0,0,194,4
323,2018,"Arts",46,330567,13344,0,0,175,3
376,2015,"Education",25,1278953,95836,1,1,200,4
109,2012,"Education",42,1526205,10474,0,0,164,5
579,2023,"Health",32,1110918,105010,0,1,198,3
717,2012,"Health",29,2952962,85340,0,1,200,2
44,2017,"Arts",26,125766,99978,1,1,208,3
50,2020,"Health",30,291612,61678,0,1,214,2
155,2020,"Environment",37,797094,28590,0,0,213,4
742,2015,"Environment",35,245837,7165,0,1,201,4
393,2019,"Education",33,1688547,12105,1,1,189,3
718,2012,"Environment",27,268311,22433,1,1,208,4
674,2016,"Health",33,1247224,38466,0,1,184,4
449,2013,"Environment",28,568917,164608,1,0,215,5
608,2013,"Arts",38,153425,4494,0,1,198,3
756,2024,"Education",29,264574,19775,0,1,185,4
366,2024,"Health",27,663756,245677,1,0,204,2
824,2024,"Environment",32,1233657,91668,1,1,225,3
205,2022,"Other",34,303647,102653,0,0,219,1
33,2016,"Arts",33,276588,12286,0,0,204,4
335,2015,"Health",25,136917,85795,0,1,198,4
501,2020,"Environment",32,1718839,176316,0,1,207,3
603,2017,"Education",30,51489,19584,1,1,186,5
896,2013,"Other",33,178476,55647,0,1,198,4
634,2023,"Environment",28,691195,48266,0,0,199,4
316,2014,"Environment",27,506895,469421,1,0,227,3
364,2012,"Arts",41,1332533,17816,0,0,211,5
418,2023,"Education",35,811955,28889,1,1,195,4
90,2013,"Arts",27,340101,37507,0,1,189,4
722,2017,"Health",32,1196543,8883,0,0,185,3
150,2016,"Arts",29,303805,127723,1,1,204,5
572,2012,"Other",39,112071,75387,1,0,177,1
210,2016,"Education",32,1698530,1126,0,1,181,2
719,2019,"Arts",29,355342,58027,1,0,184,5
892,2017,"Other",40,429805,95906,0,0,188,4
148,2024,"Health",22,147471,75490,0,1,204,3
276,2014,"Arts",32,108205,371413,0,0,189,4
392,2017,"Other",35,291418,193292,0,1,188,5
477,2013,"Other",24,376414,55665,0,1,192,5
430,2022,"Health",29,2501119,108450,1,1,197,4
589,2018,"Arts",41,1205196,37619,0,1,212,1
138,2024,"Health",32,740559,71485,0,1,211,4
344,2021,"Arts",33,430640,396529,0,1,208,4
149,2012,"Other",29,445333,155497,1,1,212,4
306,2014,"Arts",39,1141778,11158,0,1,195,5
347,2018,"Other",33,1173850,26339,0,0,193,5
307,2016,"Arts",23,314598,67780,1,1,209,1
568,2014,"Other",35,133145,8385,0,1,194,5
840,2020,"Health",26,151745,14134,0,1,211,4
591,2022,"Environment",36,172360,156501,0,1,198,5
717,2022,"Other",35,110964,75962,1,1,204,3
614,2018,"Education",32,243114,20574,0,0,207,3
635,2014,"Other",27,716013,207557,0,0,204,4
732,2013,"Arts",37,528552,146196,0,0,208,3
638,2020,"Arts",34,538096,49174,0,1,202,3
200,2012,"Education",32,126714,94792,0,1,170,5
678,2014,"Other",19,259050,3159,0,1,213,5
218,2021,"Environment",31,178802,1412,0,1,190,1
471,2022,"Arts",27,185461,34811,0,1,201,3
150,2012,"Environment",32,804668,75914,1,0,200,3
330,2016,"Other",33,579388,6237,0,1,178,3
274,2018,"Health",26,590384,150032,0,0,182,3
782,2024,"Arts",24,147791,49676,1,1,209,4
392,2017,"Arts",37,2557738,4432,0,1,178,4
569,2024,"Health",29,2044924,43459,1,1,173,3
41,2023,"Other",34,427416,236588,0,1,191,5
581,2013,"Environment",34,1044016,93369,0,0,202,3
805,2021,"Education",42,829042,21384,1,1,196,3
302,2024,"Health",27,3495320,7683,1,0,201,4
325,2018,"Education",32,706857,9108,0,1,212,4
515,2013,"Arts",29,6854382,167535,0,0,203,1
757,2018,"Arts",27,1899872,55002,0,0,213,3
244,2013,"Arts",33,851101,42314,0,0,187,4
173,2018,"Health",28,561115,98712,0,0,208,5
884,2022,"Other",28,485411,87579,0,1,190,4
122,2020,"Environment",30,1058431,44380,1,0,200,3
387,2022,"Environment",39,3288570,59281,1,0,203,5
259,2013,"Arts",20,203944,163862,1,0,240,3
238,2015,"Education",30,193333,3289,1,1,185,3
333,2018,"Environment",27,417381,994,0,0,208,5
380,2015,"Environment",27,283578,27461,0,1,205,3
89,2023,"Education",28,767964,15985,0,1,196,5
578,2012,"Arts",32,134345,13930,0,0,223,5
93,2012,"Education",22,1213438,30132,0,0,193,3
868,2019,"Other",49,834787,10669,0,1,208,3
894,2019,"Health",32,321083,368385,0,1,200,3
528,2012,"Health",27,230714,162928,0,0,211,5
619,2016,"Health",27,1477108,92193,0,1,203,4
643,2021,"Other",25,627444,157523,1,0,203,5
509,2012,"Environment",31,883966,107576,1,1,212,4
502,2024,"Arts",35,154163,288323,1,1,180,1
280,2020,"Health",38,52272,13197,0,0,170,4
888,2022,"Environment",29,694649,6170,1,1,199,5
154,2016,"Health",32,612379,75946,0,1,199,3
155,2015,"Other",28,3329956,14905,0,1,203,3
9,2012,"Other",25,276759,34057,1,1,168,4
75,2012,"Arts",31,1782291,703,0,0,207,5
586,2012,"Health",27,286091,43865,0,1,223,2
323,2015,"Health",26,337632,103549,0,1,193,5
645,2018,"Education",35,576425,114845,0,1,197,3
207,2012,"Health",28,259246,189483,0,1,194,4
262,2012,"Education",24,819292,197625,0,1,193,5
171,2023,"Education",31,588892,270282,1,0,204,4
496,2014,"Other",34,198854,9379,0,0,206,3
30,2018,"Education",26,912849,176154,0,0,198,3
669,2019,"Other",33,651010,150143,1,1,198,4
217,2013,"Education",25,127634,51858,0,1,207,4
627,2021,"Education",30,108989,7818,0,1,187,4
628,2018,"Arts",32,144807,7627,0,0,218,3
392,2021,"Other",31,408812,124,1,1,202,5
564,2023,"Health",30,413656,24073,0,1,185,5
515,2017,"Arts",27,728797,208813,1,1,201,3
809,2016,"Environment",30,275486,5687,0,1,222,5
372,2013,"Arts",38,170735,54227,1,1,204,4
176,2019,"Other",32,412177,280713,0,0,211,5
345,2013,"Other",18,458773,54989,0,0,200,3
95,2023,"Other",28,188416,48143,0,1,185,2
211,2021,"Health",29,179882,1353,0,1,207,5
156,2018,"Education",29,421162,170637,0,1,183,3
613,2022,"Education",45,737614,10510,0,1,210,4
798,2018,"Arts",36,483473,26483,0,0,215,4
860,2022,"Environment",36,287033,171469,0,1,203,4
164,2020,"Arts",38,824184,245647,0,0,206,4
239,2023,"Environment",30,228804,147904,1,0,216,5
664,2016,"Arts",33,600636,26826,1,1,197,2
445,2023,"Environment",25,3496279,29303,0,0,226,2
588,2023,"Health",28,638676,57466,1,1,189,3
148,2013,"Education",32,1723570,41674,0,1,189,3
262,2019,"Other",39,945852,20375,1,1,216,2
550,2013,"Arts",26,388412,5923,1,0,216,3
752,2018,"Education",25,454235,65891,1,1,227,3
295,2019,"Environment",47,258987,239904,1,1,219,3
632,2017,"Health",35,89971,40154,0,1,187,5
582,2016,"Health",28,87484,38610,0,1,195,4
848,2020,"Education",36,153347,2490,1,1,202,4
896,2021,"Other",30,392358,43397,0,1,192,5
93,2024,"Environment",40,441629,5457,0,1,203,2
794,2020,"Arts",29,323284,7569,0,1,181,4
624,2018,"Arts",31,433601,14385,0,1,208,5
125,2020,"Health",29,418639,97346,1,1,184,5
751,2012,"Education",25,571398,43841,0,1,190,5
614,2024,"Education",36,685645,60835,0,1,199,1
535,2014,"Education",29,94929,75076,1,0,220,4
53,2022,"Arts",32,1595664,26563,0,1,212,2
220,2019,"Environment",31,602174,33520,0,1,197,2
425,2018,"Health",38,515136,117701,0,0,220,1
174,2019,"Health",30,260851,46439,0,1,200,2
357,2019,"Health",38,221220,109710,0,1,213,4
873,2017,"Health",44,3411949,81505,0,0,190,4
689,2017,"Environment",20,272490,167000,0,0,207,3
10,2024,"Other",32,319072,44321,0,1,192,3
262,2024,"Arts",32,288254,32135,1,1,202,2
775,2021,"Education",31,1389963,3832,0,1,225,4
528,2023,"Environment",24,315738,93408,1,1,181,3
859,2018,"Education",31,7650613,19092,0,1,191,5
98,2015,"Arts",34,354823,74055,0,1,229,4
255,2023,"Arts",30,68850,10317,0,1,203,4
585,2018,"Environment",25,26275,76473,0,0,230,4
43,2018,"Education",31,263137,162427,1,1,223,5
94,2022,"Environment",34,552960,14524,0,1,216,5
549,2018,"Other",28,1009297,62401,1,1,196,3
277,2020,"Arts",39,194468,197812,0,1,228,5
451,2017,"Arts",36,302780,42283,1,0,198,5
852,2015,"Environment",31,202601,7596,0,1,223,3
624,2014,"Health",26,428793,40095,0,1,209,3
133,2022,"Education",32,334806,22641,0,0,203,5
648,2012,"Health",32,973861,8493,0,0,206,4
39,2018,"Other",34,135298,11707,0,1,197,3
371,2013,"Arts",22,215696,31998,1,0,196,3
28,2020,"Health",34,234651,120146,0,0,182,5
593,2017,"Arts",23,1136710,180633,0,0,179,4
274,2014,"Other",22,364201,13287,1,1,197,5
858,2022,"Arts",34,207164,180573,1,0,173,3
550,2013,"Environment",34,2956325,16982,1,1,196,4
18,2017,"Health",47,199376,23274,1,1,203,4
495,2016,"Arts",21,937406,64286,0,0,194,3
83,2016,"Health",25,392082,167622,0,1,217,4
151,2024,"Arts",40,527200,58807,0,0,195,4
440,2019,"Other",25,146694,64518,1,0,206,3
552,2014,"Arts",37,780559,206158,1,1,218,3
759,2019,"Arts",25,1802525,94912,1,0,223,4
642,2019,"Education",45,4606795,205543,1,1,207,5
413,2017,"Environment",35,901092,17985,0,1,178,4
778,2019,"Education",26,349249,134006,1,1,200,5
308,2020,"Other",23,2738309,23767,0,1,202,1
433,2017,"Education",31,311640,250639,0,1,202,2
264,2023,"Health",33,515388,142381,1,0,203,4
494,2024,"Arts",34,378558,54969,0,0,206,5
662,2023,"Environment",31,1551420,6970,0,1,184,3
680,2012,"Other",33,283692,21644,1,0,199,3
606,2019,"Arts",29,4111871,127199,0,1,190,5
588,2015,"Other",28,213518,23899,1,1,204,4
718,2014,"Environment",25,2532395,103937,0,1,188,4
859,2020,"Environment",32,808875,44573,1,1,189,5
197,2012,"Environment",28,594798,23711,0,0,192,3
328,2014,"Other",35,1657672,42737,0,0,200,4
499,2012,"Education",30,240480,3754,0,0,212,5
349,2014,"Other",25,1072338,37993,1,1,201,5
859,2020,"Education",28,229445,3249,0,1,185,3
191,2014,"Other",28,980603,92862,1,1,239,3
498,2014,"Education",29,390995,54161,0,0,193,2
745,2012,"Environment",27,1825659,65188,0,1,175,3
356,2018,"Environment",38,205690,289301,1,1,177,3
166,2016,"Health",32,785690,38435,0,1,193,4
423,2014,"Health",28,508823,1221,0,0,180,3
82,2017,"Health",25,101572,189722,0,1,211,3
705,2017,"Health",39,734223,128089,1,0,190,3
813,2013,"Health",33,220610,16102,0,0,204,4
326,2014,"Other",27,1210830,223736,0,1,202,4
364,2012,"Arts",39,760403,18930,0,1,214,3
187,2013,"Education",36,558661,170960,0,0,188,3
82,2012,"Environment",36,974526,34923,0,0,213,3
560,2024,"Other",27,180466,199979,0,0,191,3
750,2024,"Other",25,292271,66968,1,1,203,5
712,2013,"Arts",29,45112,10919,0,0,203,4
280,2013,"Other",32,2812297,59046,0,1,191,3
53,2014,"Health",29,110389,297807,0,0,169,4
379,2024,"Health",36,559034,55551,1,1,187,4
4,2024,"Other",24,2252676,13506,0,1,215,4
330,2014,"Health",35,143460,61500,0,1,197,4
230,2023,"Arts",29,1153946,86804,0,1,217,3
366,2022,"Health",28,239059,162785,0,1,181,4
474,2020,"Other",29,295953,3876,1,1,192,1
84,2012,"Environment",29,432879,308418,0,0,219,3
474,2013,"Other",30,1842512,52127,1,1,199,4
541,2021,"Education",28,304382,2349,0,0,211,4
116,2016,"Arts",34,460601,179804,1,0,211,5
228,2019,"Health",45,427444,19169,0,1,184,4
226,2015,"Environment",20,303542,231270,0,1,193,3
46,2015,"Education",26,138430,173956,0,1,196,5
393,2023,"Education",27,219263,72684,0,0,225,4
643,2019,"Education",22,329728,53900,0,1,240,5
240,2013,"Education",38,571591,8585,0,1,198,3
165,2014,"Education",38,765347,132480,0,0,204,5
651,2013,"Arts",28,255394,142609,0,0,224,4
54,2019,"Environment",29,429248,70390,0,1,181,1
648,2024,"Other",26,41518,40792,0,1,193,2
834,2016,"Environment",23,987712,173817,0,1,202,4
343,2013,"Arts",24,36254,484644,0,0,204,5
162,2012,"Environment",33,826477,8167,1,1,202,3
212,2014,"Environment",38,294175,57508,0,0,191,4
139,2016,"Education",28,1210964,108910,1,1,192,4
59,2012,"Other",34,3591904,71845,0,1,206,4
368,2013,"Education",36,290132,76859,0,1,200,5
357,2016,"Environment",41,756226,207239,0,1,205,4
542,2020,"Other",36,128410,24017,0,0,186,5
817,2024,"Environment",28,2005653,12516,0,0,190,3
868,2012,"Education",36,62310,52667,0,0,206,5
557,2017,"Other",32,1125521,226839,0,0,209,1
761,2020,"Environment",30,302227,168177,0,0,197,4
561,2014,"Health",31,1404619,130323,0,1,206,2
519,2022,"Other",28,195250,110701,0,1,237,3
654,2018,"Other",28,896120,88443,0,1,206,3
430,2019,"Environment",33,307426,24594,1,0,192,3
565,2015,"Other",34,168824,168004,1,1,203,3
576,2014,"Arts",27,159711,1062,0,1,192,4
278,2024,"Environment",35,349103,201476,0,1,195,4
275,2019,"Health",24,3626195,1981,1,1,210,4
60,2015,"Education",29,520954,21524,0,1,203,5
59,2019,"Arts",25,1356853,158532,1,1,213,4
804,2024,"Arts",32,47863,67132,1,1,190,4
266,2013,"Arts",35,880081,56182,1,1,191,5
835,2016,"Health",40,383248,101073,0,0,197,4
140,2022,"Environment",29,312474,179390,0,1,190,4
124,2018,"Other",31,272776,84181,0,1,210,5
202,2021,"Arts",35,658539,158915,1,1,220,3
236,2017,"Environment",34,857431,101749,0,1,190,2
494,2023,"Education",30,414443,84644,1,0,190,4
343,2017,"Arts",29,854901,8590,0,1,207,4
569,2024,"Other",27,93467,92444,1,1,186,5
867,2018,"Other",34,146912,326869,0,1,187,5
583,2022,"Health",29,283275,26600,1,1,215,5
203,2013,"Education",31,114534,140363,0,0,229,1
725,2021,"Other",30,258273,156322,0,1,200,5
310,2016,"Environment",31,1328731,68542,0,0,209,4
382,2021,"Education",32,14333934,26980,0,1,198,4
831,2021,"Education",33,1678849,166542,0,1,229,5
742,2019,"Arts",34,104145,230356,0,1,186,4
97,2023,"Arts",31,382776,118417,0,0,221,4
99,2016,"Arts",28,167546,24242,0,1,209,4
151,2018,"Health",35,763088,41074,0,0,189,3
395,2016,"Arts",33,648666,113733,0,1,215,5
91,2020,"Education",30,3878918,3673,0,1,183,3
854,2017,"Arts",20,291934,65490,1,1,210,3
265,2019,"Other",47,189494,78026,0,0,185,4
592,2023,"Health",28,1707431,79886,0,0,201,2
868,2020,"Environment",30,718312,5264,1,0,212,5
723,2024,"Health",24,1718380,27002,0,0,207,5
558,2014,"Education",22,342449,61935,0,1,197,4
439,2023,"Arts",26,399669,4515,0,1,190,2
127,2020,"Environment",40,2525519,250,0,1,201,3
621,2023,"Health",19,837043,60351,1,1,179,5
137,2013,"Environment",41,373156,172658,0,0,199,2
656,2014,"Arts",25,173469,173078,0,1,217,4
152,2022,"Environment",43,4696525,286136,1,1,186,2
267,2018,"Environment",26,720479,102704,0,0,213,2
688,2020,"Environment",31,3590713,109385,0,1,193,4
613,2024,"Environment",24,816844,8617,1,1,179,4
784,2024,"Education",29,911253,3650,0,0,203,5
57,2013,"Other",31,324145,43796,1,1,202,5
537,2012,"Health",42,605805,149978,1,1,188,4
750,2017,"Environment",28,266438,182720,1,0,201,3
823,2023,"Other",32,1673620,4690,0,0,230,4
313,2018,"Health",34,1197900,148993,0,1,191,4
848,2023,"Health",41,306275,118296,0,0,184,2
468,2016,"Health",23,135790,158091,0,0,207,3
630,2017,"Health",31,1067048,50005,1,1,225,3
751,2023,"Education",22,323751,51899,0,1,203,5
294,2019,"Education",23,1026459,81495,0,1,211,5
190,2015,"Health",30,309937,228165,0,1,227,5
494,2017,"Environment",20,409909,171974,0,0,181,3
423,2024,"Education",30,2302563,107292,0,0,188,4
237,2018,"Environment",34,593215,335534,0,1,208,5
53,2020,"Environment",31,954873,193754,1,1,222,3
525,2014,"Education",35,346830,1697,1,1,202,3
279,2023,"Environment",29,99763,32929,1,1,203,3
707,2023,"Environment",32,105802,24223,0,1,205,1
736,2020,"Environment",40,368545,178060,0,1,198,1
20,2015,"Other",34,195128,41932,0,1,178,5
434,2024,"Arts",40,170205,42754,1,0,218,4
166,2016,"Other",30,648093,131945,0,1,197,3
711,2013,"Other",36,455564,101701,0,1,200,4
118,2015,"Other",29,836384,174104,0,1,244,5
665,2018,"Environment",32,859046,449601,0,1,210,4
79,2020,"Other",34,1860401,86628,1,1,211,4
322,2013,"Other",35,304252,14254,1,1,201,5
397,2016,"Arts",24,149652,7370,1,1,203,4
770,2023,"Health",33,1013318,177568,0,1,207,3
670,2021,"Arts",27,1538730,71061,0,1,207,2
568,2013,"Other",27,428356,204030,0,1,226,4
623,2017,"Arts",36,1109721,59982,0,0,196,5
876,2014,"Education",24,263945,21617,0,1,207,4
131,2020,"Arts",25,1079350,30904,0,1,199,5
739,2014,"Education",33,644826,107290,0,0,197,4
176,2016,"Other",33,216393,196940,0,1,198,2
235,2022,"Education",33,1372353,81461,1,1,194,4
89,2014,"Environment",35,96719,51338,1,1,203,2
420,2012,"Education",35,694439,226,0,0,211,5
353,2013,"Arts",25,463920,7048,0,1,217,3
212,2014,"Education",30,992004,108671,0,1,179,5
206,2019,"Health",21,461432,53515,0,1,183,2
456,2018,"Arts",20,823552,23144,1,1,215,5
718,2018,"Environment",32,1228726,14066,0,1,215,4
426,2015,"Health",26,179206,58765,1,1,193,4
291,2013,"Education",27,944379,3854,0,1,212,5
216,2017,"Other",35,190089,22356,0,1,200,4
283,2013,"Education",34,512398,44517,1,1,217,3
232,2012,"Arts",31,825816,35775,0,0,200,4
379,2012,"Health",40,778737,36924,0,0,207,2
358,2024,"Health",35,583366,79877,1,0,212,3
10,2018,"Environment",36,802096,119584,0,0,217,1
90,2015,"Health",37,1964601,109077,0,0,192,5
490,2013,"Environment",34,283999,222771,1,1,177,1
237,2012,"Other",36,268794,495,0,1,208,3
260,2016,"Arts",29,695878,55188,0,1,206,4
620,2019,"Health",25,343369,2439,0,1,185,5
684,2022,"Other",25,225040,91581,0,1,198,5
444,2024,"Arts",34,1405704,7504,1,0,205,4
36,2015,"Education",26,1397500,99080,0,0,189,3
756,2012,"Other",28,446303,8546,0,0,177,4
591,2024,"Education",30,245231,270566,1,0,192,5
555,2013,"Environment",41,127298,161585,0,0,203,3
100,2017,"Health",26,138431,10822,0,0,211,3
846,2022,"Environment",29,801083,100910,1,0,217,3
427,2018,"Other",34,251930,80156,0,1,247,2
564,2016,"Other",35,314332,69679,0,0,194,3
364,2020,"Education",14,2296641,345208,0,0,180,4
457,2022,"Arts",31,498897,11104,0,1,191,4
133,2015,"Arts",33,238124,207896,0,1,170,5
572,2024,"Environment",25,563909,184118,0,1,193,5
269,2015,"Arts",30,466300,62933,0,1,215,4
121,2024,"Environment",27,888247,76677,0,1,187,4
165,2020,"Education",30,695959,57059,1,0,186,3
173,2024,"Environment",32,681544,3625,1,1,203,4
513,2020,"Other",36,443082,75194,0,1,204,3
615,2016,"Environment",24,255309,202442,0,1,225,4
144,2016,"Other",39,772444,22711,1,1,195,5
817,2020,"Arts",36,121661,2603,0,0,196,5
422,2016,"Arts",32,290577,28753,0,0,208,3
295,2013,"Arts",31,500124,56901,0,1,171,4
143,2012,"Other",34,708609,183,1,1,194,4
705,2015,"Education",33,824977,45801,0,1,176,2
528,2024,"Environment",29,3468626,176645,0,0,208,4
624,2015,"Arts",27,552904,4842,0,1,187,4
477,2015,"Environment",37,369661,154156,0,0,200,5
160,2018,"Other",39,980613,133639,1,0,192,3
454,2022,"Arts",28,609847,57530,1,0,203,3
282,2012,"Arts",25,542314,168,0,1,181,4
516,2013,"Arts",36,53255,225660,0,1,189,4
732,2019,"Health",25,1211162,16883,0,1,210,5
315,2013,"Arts",24,1361217,8086,0,1,205,3
323,2020,"Other",31,3028230,75330,0,0,186,3
751,2020,"Other",42,176995,78902,0,1,208,1
18,2021,"Education",29,480538,276061,0,1,200,3
174,2017,"Other",30,137056,96965,0,0,188,3
490,2019,"Environment",29,440106,7044,0,1,211,4
3,2021,"Health",35,123682,98752,0,1,209,3
812,2012,"Other",27,713077,58753,0,0,171,2
129,2015,"Other",29,1557800,40122,0,0,197,3
386,2022,"Arts",41,363063,17407,0,0,217,3
537,2021,"Arts",37,285050,6490,0,1,188,2
172,2017,"Environment",37,973155,231065,0,1,212,2
90,2014,"Arts",36,331397,31645,1,1,214,4
887,2020,"Other",31,545711,68052,0,1,211,4
653,2014,"Education",30,649988,58492,0,1,191,2
893,2014,"Other",37,29728,90258,0,0,192,5
545,2020,"Education",34,238191,9085,0,1,198,1
191,2012,"Education",39,109487,182374,1,1,192,4
92,2014,"Education",24,3963317,124267,0,1,202,3
810,2013,"Environment",34,833361,60035,0,1,206,2
849,2012,"Education",29,99289,59892,0,1,203,3
342,2015,"Other",43,472872,191421,0,1,206,4
107,2016,"Education",28,1376235,118832,0,1,236,5
653,2024,"Other",19,121110,12695,0,0,205,3
534,2018,"Arts",25,788535,105823,0,0,189,3
297,2016,"Education",34,66488,29807,1,1,213,3
366,2016,"Arts",33,531609,22425,0,0,187,4
4,2023,"Arts",47,2886532,67002,0,1,194,5
755,2022,"Health",28,649533,6444,1,0,199,2
815,2022,"Environment",29,49245,89927,1,0,206,5
307,2013,"Education",34,503429,92987,0,0,178,5
853,2020,"Arts",29,2346544,80881,0,0,204,3
724,2023,"Arts",35,2814947,88005,1,1,206,5
326,2021,"Arts",31,453240,72922,0,0,218,3
230,2014,"Health",24,889143,3650,0,0,208,3
427,2024,"Other",36,1502097,192218,0,1,203,3
46,2019,"Other",36,187041,20035,0,1,192,2
255,2013,"Education",34,46086,73744,0,0,190,4
