voter_id,treatment,turnout,turnout_pct
467,Control,1,100
468,Canvassed,1,100
469,Canvassed,1,100
470,Canvassed,0,0
471,Control,1,100
472,Canvassed,1,100
473,Canvassed,1,100
474,Control,1,100
475,Control,0,0
476,Control,1,100
477,Canvassed,0,0
478,Control,1,100
479,Control,1,100
480,Canvassed,0,0
481,Control,1,100
482,Canvassed,1,100
483,Control,0,0
484,Control,0,0
485,Control,0,0
486,Control,1,100
487,Control,0,0
488,Canvassed,1,100
489,Canvassed,0,0
490,Control,1,100
491,Canvassed,0,0
492,Canvassed,1,100
493,Canvassed,1,100
494,Canvassed,1,100
495,Canvassed,0,0
496,Control,0,0
497,Canvassed,0,0
498,Control,1,100
499,Control,0,0
500,Control,1,100
